candidate,sl_1h_atr,tp_1h_atr,rr,file,note
phase3e_1h_runner_rsi87_be_w9_r10_lb20_sl1h_1p2_tp1h_4p8_rr4_fee04,1.2,4.8,4.0,research/experiments/configs/ema_pullback/generated_phase3e_1h_atr_runner_rsi87_be/candidates/phase3e_1h_runner_rsi87_be_w9_r10_lb20_sl1h_1p2_tp1h_4p8_rr4_fee04.json,"lower-stop comparator; previously PnL ~20.4k, PF ~1.167, gap ~0.081"
phase3e_1h_runner_rsi87_be_w9_r10_lb20_sl1h_1p4_tp1h_5p6_rr4_fee04,1.4,5.6,4.0,research/experiments/configs/ema_pullback/generated_phase3e_1h_atr_runner_rsi87_be/candidates/phase3e_1h_runner_rsi87_be_w9_r10_lb20_sl1h_1p4_tp1h_5p6_rr4_fee04.json,"best mid-stop pilot; previously PnL ~28.4k, PF ~1.224, gap ~0.023"
phase3e_1h_runner_rsi87_be_w9_r10_lb20_sl1h_1p6_tp1h_6p4_rr4_fee04,1.6,6.4,4.0,research/experiments/configs/ema_pullback/generated_phase3e_1h_atr_runner_rsi87_be/candidates/phase3e_1h_runner_rsi87_be_w9_r10_lb20_sl1h_1p6_tp1h_6p4_rr4_fee04.json,"mid/high stop; previously PnL ~26.9k, PF ~1.200, gap ~0.053"
phase3e_1h_runner_rsi87_be_w9_r10_lb20_sl1h_1p8_tp1h_7p2_rr4_fee04,1.8,7.2,4.0,research/experiments/configs/ema_pullback/generated_phase3e_1h_atr_runner_rsi87_be/candidates/phase3e_1h_runner_rsi87_be_w9_r10_lb20_sl1h_1p8_tp1h_7p2_rr4_fee04.json,"strong pilot; previously PnL ~38.8k, PF ~1.283, gap ~0.085"
phase3e_1h_runner_rsi87_be_w9_r10_lb20_sl1h_2_tp1h_8_rr4_fee04,2.0,8.0,4.0,research/experiments/configs/ema_pullback/generated_phase3e_1h_atr_runner_rsi87_be/candidates/phase3e_1h_runner_rsi87_be_w9_r10_lb20_sl1h_2_tp1h_8_rr4_fee04.json,"best pilot by PF/PnL/symmetry; previously PnL ~41.1k, PF ~1.286, gap ~0.024"
