path,size_bytes,sha256,responsibility,action
research/strategies/ema_pullback/execution/exit_arbitration.py,2673,5469f6d650196c0f9482845e64a5ab9910cd69a367f9b10097ca7f2d273f3eee,execution_simulation,port
research/strategies/ema_pullback/execution/signals.py,10538,7d72997f6ed1f26ccb3778707d307ffdfcfa852201f21d2e6814023c11623572,execution_or_artifact_mixed,audit_function_by_function
research/strategies/ema_pullback/execution/trade_runtime.py,32439,ceae930bdcc4acecb16551b1e585aa7d673faa056aec948379595460fa428cc6,execution_or_artifact_mixed,audit_function_by_function
research/strategies/ema_pullback/execution/runner.py,5035,c18d4f446d645280c6e52d762a4c939bf88250458a3b6bfd30a6ce26e1d8fbce,run_orchestration_seam,rewrite_around_clients
research/strategies/ema_pullback/execution/managed_comparison.py,10216,ecea59a7fc011a281a9a0bd595832e6799b303b7c046d241c21586efcc24666e,execution_or_artifact_mixed,audit_function_by_function
research/strategies/ema_pullback/execution/results.py,33024,05cf3dc586310361a2b1ecc34ca4ec4746ec4b25dfce7da5cab2a55bef4305f2,execution_or_artifact_mixed,audit_function_by_function
research/strategies/ema_pullback/execution/exit_policy_candidates.py,8266,89068f0daaba847a0cf2f1c17cebe8c7bbd6c5f31d8a4c8d89d457738dd29829,execution_or_artifact_mixed,audit_function_by_function
research/strategies/ema_pullback/execution/data_loader.py,1759,33f615bc3657eb32b86358724fc4c2c7e2222d654c017d1240c6cb78d854ddd5,legacy_market_loader,replace_with_mds_client
research/strategies/ema_pullback/execution/managed_execution_loop.py,12836,b7908303a342ddc3a283d63f48a1db44df4d1e822bcd04224b76d8faaf67e5eb,execution_simulation,port
research/strategies/ema_pullback/execution/trade_analyzer.py,26645,06a3c9490f9cdb8c77c698d0617c12fd912628653026c8f79a9f9b64b768c38a,execution_or_artifact_mixed,audit_function_by_function
research/strategies/ema_pullback/execution/signal_trace.py,51144,c04f1d28ecc21e49197903512d95430d40b4f71b2e16102c1159451273848ebf,execution_or_artifact_mixed,audit_function_by_function
research/strategies/ema_pullback/execution/__init__.py,70,ff3263a34a3249fa67e2dffa691b4a137effcfd304678f736faf7469afc6d82e,execution_or_artifact_mixed,audit_function_by_function
research/strategies/ema_pullback/execution/managed_bar_open_candidates.py,3317,78ab357ee81f107ff419ce31be0016875ed4eedbb1b0a60d84c017cad82be798,execution_or_artifact_mixed,audit_function_by_function
research/strategies/ema_pullback/execution/report_table.py,4320,eb0e6fbddbf9541945cca8babe75ffd25bed60c2d50f166f31e6c0e0fa4c69ef,execution_or_artifact_mixed,audit_function_by_function
research/strategies/ema_pullback/execution/managed_components/runtime_exit.py,5001,8be11f793a8bbf6466acc3221d28b314a6f5f7be9264ccea8bd1917859a627be,execution_or_artifact_mixed,audit_function_by_function
research/strategies/ema_pullback/execution/managed_components/stop.py,4147,a34745a27489467ec2b0eeb94bdbac778555be0bd190330f3c7a00c2f0f0471a,execution_or_artifact_mixed,audit_function_by_function
research/strategies/ema_pullback/execution/managed_components/atr.py,1146,31373925f59d13326777f2b4d02f971be755055c9866774e58348e4e51e00d55,execution_or_artifact_mixed,audit_function_by_function
research/strategies/ema_pullback/execution/managed_components/__init__.py,1355,d82c093f31b92318967172441bfb7a392001df277869bf56274168314350ac2b,execution_or_artifact_mixed,audit_function_by_function
research/strategies/ema_pullback/execution/managed_components/activation.py,330,7a0860b87a442947aa9192bdc6c91ec37199fe0ca9af89e4def3a418c77b20b9,execution_or_artifact_mixed,audit_function_by_function
research/strategies/ema_pullback/execution/managed_components/take.py,1745,54b06c92eeeddc4d9b05039594bbd27dae96361e2ba73a2b2e16335479ad7d18,execution_or_artifact_mixed,audit_function_by_function
research/strategies/ema_pullback/execution/managed_components/snapshot.py,9019,6ffb62afbdd7752d543741b2a2e860f9bbdc3d89fcf5378b5b1183af771c74c4,execution_or_artifact_mixed,audit_function_by_function
research/strategies/ema_pullback/execution/result_models.py,4573,6f2670d1ef47a68004e13542014314a032d183aefe1a5b047f8fc7ba6c09b6f3,execution_or_artifact_mixed,audit_function_by_function
research/strategies/ema_pullback/execution/exit_attribution.py,13236,ca76056a9b20deb02f448fa874f1f353fabc14cf55a89f634324c78f9cb3ab97,execution_or_artifact_mixed,audit_function_by_function
research/strategies/ema_pullback/execution/backtest.py,24181,e3a248380f8012bc271b98e9c424023eafd01252cf58366ccd8f5841a7e166a7,execution_seam,split_strategy_from_simulation
research/strategies/ema_pullback/execution/exits.py,17090,11285d13db433e8161438fdc1f7fc457841b685e792ecc90917240a8d6d881f8,execution_or_artifact_mixed,audit_function_by_function
research/strategies/ema_pullback/execution/managed_exit_provider.py,3982,5f1990cd9d1d9083996fc49da4026a4b7fe7ce234cf0fa0774cda3eb94fca9d0,execution_or_artifact_mixed,audit_function_by_function
research/strategies/ema_pullback/spec_instances.py,4849,bb87442ab1b5f66a14d7ada943b95b811a77528f64f6c830b263529d8e189eec,strategy_reference,do_not_port_production_replace_by_strategy_api
research/strategies/__init__.py,83,6579c23ec325b36417e44a3f314920a4518ff1a68140f9c919d7df27302886dd,repository_reference,reference_only
research/strategies/sweet zone fake breakout/idea.md,12962,81979fd778927ae506d2cb4f2d27839189bdb7224a227fe1056182cf79489c81,repository_reference,reference_only
research/strategies/sweet zone fake breakout/ROADMAP.md,24346,57732f9d37d49afee87834f433ebb243ec0bc29818b42765d37d255ee3a3012e,repository_reference,reference_only
research/experiments/batch_runner.py,5117,c33e5b2237b938bb4a847f0515b1e727e849b62a23f017e278070887febf6961,experiment_orchestration,port_replace_strategy_call
research/experiments/config_loader.py,9195,7fb29051d18c36e079ba9676a8ec5759e02d140239d0627aaa91844a4dc05a58,experiment_orchestration,port_replace_strategy_call
research/experiments/models.py,11269,07e7fe851e660873da6d5159a17be562496e0fab62a443e5645b6c4d134fab48,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/smoke/exit_management_runner_rsi_ema_runtime_smoke.json,4598,29259938fb8fe585e1f894999d73e6f0e9c9ded5fc7c9c49f0bd98b5368cfc5c,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/smoke/exit_management_adx_runner_smoke.json,5431,f82e3c268559aab27035633999bdaed23d41675250a426eb764076399bc9aeb8,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/smoke/exit_management_adx_protected_smoke.json,5351,3b96a4e6f4e97060df117fe96314134ed139a4d9450b95ac50be34d1053aafc3,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/smoke/exit_management_managed_smoke.json,6240,4083fb5c37cf9c57354a08f7184e1ae8faf076180f9df857d88937f9fc6a03e0,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/smoke/exit_management_runner_rsi_ema_runtime_smoke_local.json,5139,91a214e589f1db270a6fc3ec2f6a09cf5e821bd26642620f7a3fdded5f0b3ad2,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/smoke/exit_management_runner_rsi_ema_runtime_smoke_batch.json,809,d82306a58c0170af75ff619fe01ccb4c3bf9ee2005e5db3dd429a775df2e2479,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/smoke/exit_management_diagnostic_smoke.json,4131,0a09138e2e25c4e0cf97e6aefb9635c750b03807477cf269a6292c55f93f0247,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/candidates/instance_2.json,2202,1ffd4aa39cff4e31b58065505c5465716cfcea316835d1285ac36772fc8b13c9,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/candidates/ema500_contextual_tp_extreme_rsi_htf_sweep/ema500_lb70_sl6p5_both_a40_n20_c6p5_rsi14_tf1d_lb10.json,3768,86a8ce1e70050c3e9e9f385b62a7f984179ab37471bfa29ba1c482c458361d13,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/candidates/ema500_contextual_tp_extreme_rsi_htf_sweep/ema500_lb70_sl6p5_both_a40_n20_c6p5_rsi14_tf1h_lb10.json,3768,b6fc2afccdad259d63734c9129233345390bd100be9f3ad7fbbaa47402642565,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/candidates/ema500_contextual_tp_extreme_rsi_htf_sweep/ema500_lb70_sl6p5_both_a40_n20_c6p5_rsi14_tf4h_lb10.json,3768,a1b08b70966656ad29d9a5659260e328f94ce14181d914873f860376e6e50f5f,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/candidates/ema500_contextual_tp_extreme_rsi_htf_sweep/ema500_lb70_sl6p5_long_a40_n20_c6p5_rsi14_tf4h_lb10.json,3748,aee112192cb1bab1cc1f4baddc9c409f4b3e0d1316ce69eecd21ddaa8a116f58,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/candidates/ema500_contextual_tp_extreme_rsi_htf_sweep/ema500_lb70_sl6p5_both_a40_n20_c10_rsi14_tf1h_lb10.json,3763,01a494649deeb6f292e9427163c63e6d79d4eb375b7df80d9ed9aa76c07e4055,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/candidates/ema500_contextual_tp_extreme_rsi_htf_sweep/ema500_lb70_sl6p5_both_a40_n20_c10_rsi14_tf4h_lb10.json,3763,a861b5cd44b72691e983224e1060a3175de9f6ad86ac49f709a36e0c07524458,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/candidates/ema500_contextual_tp_extreme_rsi_htf_sweep/ema500_lb70_sl6p5_long_a40_n20_c6p5_rsi14_tf1h_lb10.json,3748,89a7d1e3bfeb7c0fc4ddee17033b2b4e7b73272fa696e949398dd1921727b5f4,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/candidates/ema500_contextual_tp_extreme_rsi_htf_sweep/ema500_lb70_sl6p5_both_a40_n20_c10_rsi14_tf1d_lb10.json,3763,4d48c20f31848b1097961f82354a06a07957a467930c0efba63cf20b5814e071,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/candidates/ema500_contextual_tp_extreme_rsi_htf_sweep/ema500_lb70_sl6p5_long_a40_n20_c6p5_rsi14_tf1d_lb10.json,3748,e341a91e3a9285dfe99539891511647e5dc24d03642bc6f73abadf030ca01ab4,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/candidates/ema500_ema_cross_exit_sweep/ema500_lb70_sl6p5_a40_n20_c6p5_xema100_200_aligned.json,4085,bc8f40cc01b96c80418327aaa37d3be2c0a05ca6968815aa7f78e5bfa9d2fbc1,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/candidates/ema500_ema_cross_exit_sweep/ema500_lb70_sl6p5_a40_n20_c6p5_xema150_300_aligned.json,4085,0fa9fde86f2659278fb3a2effd20a319633aa8ade72a3c2722649cc31390ca1b,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/candidates/ema500_ema_cross_exit_sweep/ema500_lb70_sl6p5_a40_n20_c6p5_xema200_500_aligned.json,4085,2abc309690434646d77aaa30f476de5e88fe593853e269a459dba5b6d830ae77,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/candidates/ema500_ema_cross_exit_sweep/ema500_lb70_sl6p5_a40_n20_c6p5_xema150_300_always_on.json,4063,d5f1787c564e6f573d9fc2068bc32b5cf204ba85d0eb255737d50ddc13aba0c1,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/candidates/ema500_ema_cross_exit_sweep/ema500_lb70_sl6p5_a40_n20_c6p5_xema50_100_aligned.json,4080,09df02afb4f572110c9f35b68539a65cf53bde4c15ec388ce14e94865e3c95ef,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/candidates/ema500_ema_cross_exit_sweep/ema500_lb70_sl6p5_a40_n20_c6p5_xema100_200_always_on.json,4063,7e180be3b9c15a7f0b93c81ccf4a8ec7dba67752122b61b34261d83004544c77,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/candidates/ema500_ema_cross_exit_sweep/ema500_lb70_sl6p5_a40_n20_c6p5_xema50_100_always_on.json,4058,1746f5e1467da0ed45e15e382d47d1eb7eff0b168a4d1362c2ac785d903a1a2c,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/candidates/ema500_ema_cross_exit_sweep/ema500_lb70_sl6p5_a40_n20_c6p5_xema200_500_always_on.json,4063,7e18a9a80ec234b53d29078830fac6570ca440a84dfc58c4991151dd88a1ede1,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/candidates/ema500_contextual_tp_both_sides_sweep/ema500_lb70_sl6p5_a30_n16_c8_ls.json,3462,02d01760bb49857aa79cc77bea4a5ae71d71c33b55ab5273b41fd8f4f7956131,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/candidates/ema500_contextual_tp_both_sides_sweep/ema500_lb70_sl6p5_a20_n20_c10_ls.json,3467,d2b996deb8502b8473ef7596b61ab851ae901db81456f39509d9ce154f2c9d8c,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/candidates/ema500_contextual_tp_both_sides_sweep/ema500_lb70_sl6p5_a40_n16_c8_ls.json,3462,01caa52abc5d2bdaf7d52919f2c2cc0bae3a45aa738ef7f4f2c0ed2a575318bb,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/candidates/ema500_contextual_tp_both_sides_sweep/ema500_lb70_sl6p5_a20_n16_c8_ls.json,3462,dd463b0fe0936579392ae1cecfecc21776bbe48ffd532387bd460efa7f639d87,experiment_orchestration,port_replace_strategy_call
research/experiments/specs/candidates/ema500_contextual_tp_both_sides_sweep/ema500_lb70_sl6p5_a40_n20_c10_ls.json,3467,1d5b40719953adf2584eccb40ad319e61b313a97b5da87c3d70c75f2045b475b,experiment_orchestration,port_replace_strategy_call
