candidate_id,setup_label,group,width_atr_timeframe,rail,current_width,recent_width,recent_delta,width_lookback,trades,pnl,profit_factor,win_rate_pct,max_drawdown_pct,sharpe,long_trades,long_pnl,long_profit_factor,long_win_rate_pct,short_trades,short_pnl,short_profit_factor,short_win_rate_pct,pf_symmetry_gap,min_side_pf,both_sides_pf_gt_1,phase2e_acceptance,strict_symmetric_acceptance,fees_paid,stop_loss_after_bad_context,stop_loss_after_low_mfe,high_mfe_high_capture_count,high_mfe_low_capture_count,main_score,run_id,report_path
phase2e_focused_1h_semantic_primary_215_w2p25_r2p75_lb35_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2.25/r2.75/lb35,focused_1h,1h,2.15,2.25,2.75,0.5,35,163,4678.8424455511395,1.2792601104811878,58.282208588957054,-15.794800100214879,0.5955366893061772,110,2535.458705195559,1.2219350143321321,58.18181818181818,53,2143.383740355581,1.402128607575325,58.490566037735846,0.18019359324319284,1.2219350143321321,True,True,True,1699.639301770836,68,29,44,6,63.68807813143585,2026-06-16T195158Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_primary_215_w2p25_r2p75_lb35_sym_1hatr_sl2p15_tp2p15_fee04,research/results/runs/2026-06-16T195158Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_primary_215_w2p25_r2p75_lb35_sym_1hatr_sl2p15_tp2p15_fee04.json
phase2e_focused_1h_semantic_primary_215_w2p3_r2p75_lb35_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2.3/r2.75/lb35,focused_1h,1h,2.15,2.3,2.75,0.45,35,163,4678.8424455511395,1.2792601104811878,58.282208588957054,-15.794800100214879,0.5955366893061772,110,2535.458705195559,1.2219350143321321,58.18181818181818,53,2143.383740355581,1.402128607575325,58.490566037735846,0.18019359324319284,1.2219350143321321,True,True,True,1699.639301770836,68,29,44,6,63.68807813143585,2026-06-16T195720Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_primary_215_w2p3_r2p75_lb35_sym_1hatr_sl2p15_tp2p15_fee04,research/results/runs/2026-06-16T195720Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_primary_215_w2p3_r2p75_lb35_sym_1hatr_sl2p15_tp2p15_fee04.json
phase2e_focused_1h_semantic_upper_235_w1p9_r2p65_lb20_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w1.9/r2.65/lb20,focused_1h,1h,2.35,1.9,2.65,0.75,20,172,4421.265592096513,1.228556675265816,59.30232558139535,-22.287138405523844,0.5232615131067885,115,3358.901042390937,1.277735353335681,60.0,57,1062.3645497055752,1.1465250637493873,57.89473684210527,0.13121028958629366,1.1465250637493873,True,True,False,1722.8229393493996,70,28,53,6,60.33867630982907,2026-06-16T200013Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w1p9_r2p65_lb20_sym_1hatr_sl2p35_tp2p35_fee04,research/results/runs/2026-06-16T200013Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w1p9_r2p65_lb20_sym_1hatr_sl2p35_tp2p35_fee04.json
phase2e_focused_1h_semantic_upper_235_w2_r2p65_lb20_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2/r2.65/lb20,focused_1h,1h,2.35,2.0,2.65,0.65,20,172,4421.265592096513,1.228556675265816,59.30232558139535,-22.287138405523844,0.5232615131067885,115,3358.901042390937,1.277735353335681,60.0,57,1062.3645497055752,1.1465250637493873,57.89473684210527,0.13121028958629366,1.1465250637493873,True,True,False,1722.8229393493996,70,28,53,6,60.33867630982907,2026-06-16T200525Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2_r2p65_lb20_sym_1hatr_sl2p35_tp2p35_fee04,research/results/runs/2026-06-16T200525Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2_r2p65_lb20_sym_1hatr_sl2p35_tp2p35_fee04.json
phase2e_focused_1h_semantic_upper_235_w2p1_r2p65_lb20_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2.1/r2.65/lb20,focused_1h,1h,2.35,2.1,2.65,0.55,20,172,4421.265592096513,1.228556675265816,59.30232558139535,-22.287138405523844,0.5232615131067885,115,3358.901042390937,1.277735353335681,60.0,57,1062.3645497055752,1.1465250637493873,57.89473684210527,0.13121028958629366,1.1465250637493873,True,True,False,1722.8229393493996,70,28,53,6,60.33867630982907,2026-06-16T201143Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2p1_r2p65_lb20_sym_1hatr_sl2p35_tp2p35_fee04,research/results/runs/2026-06-16T201143Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2p1_r2p65_lb20_sym_1hatr_sl2p35_tp2p35_fee04.json
phase2e_focused_1h_semantic_upper_235_w1p9_r2p75_lb35_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w1.9/r2.75/lb35,focused_1h,1h,2.35,1.9,2.75,0.85,35,166,5332.374205187354,1.2794973496478854,58.43373493975904,-17.27344757692826,0.6122622774309737,112,2960.4275591936635,1.2318170748394566,58.03571428571429,54,2371.946645993691,1.3760273432144623,59.25925925925925,0.14421026837500572,1.2318170748394566,True,True,False,1753.0178724365405,69,25,54,7,59.90295779390464,2026-06-16T200233Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w1p9_r2p75_lb35_sym_1hatr_sl2p35_tp2p35_fee04,research/results/runs/2026-06-16T200233Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w1p9_r2p75_lb35_sym_1hatr_sl2p35_tp2p35_fee04.json
phase2e_focused_1h_semantic_upper_235_w2_r2p75_lb35_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2/r2.75/lb35,focused_1h,1h,2.35,2.0,2.75,0.75,35,166,5332.374205187354,1.2794973496478854,58.43373493975904,-17.27344757692826,0.6122622774309737,112,2960.4275591936635,1.2318170748394566,58.03571428571429,54,2371.946645993691,1.3760273432144623,59.25925925925925,0.14421026837500572,1.2318170748394566,True,True,False,1753.0178724365405,69,25,54,7,59.90295779390464,2026-06-16T200740Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2_r2p75_lb35_sym_1hatr_sl2p35_tp2p35_fee04,research/results/runs/2026-06-16T200740Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2_r2p75_lb35_sym_1hatr_sl2p35_tp2p35_fee04.json
phase2e_focused_1h_semantic_upper_235_w2p1_r2p75_lb35_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2.1/r2.75/lb35,focused_1h,1h,2.35,2.1,2.75,0.65,35,166,5332.374205187354,1.2794973496478854,58.43373493975904,-17.27344757692826,0.6122622774309737,112,2960.4275591936635,1.2318170748394566,58.03571428571429,54,2371.946645993691,1.3760273432144623,59.25925925925925,0.14421026837500572,1.2318170748394566,True,True,False,1753.0178724365405,69,25,54,7,59.90295779390464,2026-06-16T201454Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2p1_r2p75_lb35_sym_1hatr_sl2p35_tp2p35_fee04,research/results/runs/2026-06-16T201454Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_upper_235_w2p1_r2p75_lb35_sym_1hatr_sl2p35_tp2p35_fee04.json
phase2e_focused_1h_semantic_primary_215_w1p9_r2p75_lb35_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w1.9/r2.75/lb35,focused_1h,1h,2.15,1.9,2.75,0.85,35,167,3852.5471365156627,1.2216747020442422,57.48502994011976,-17.730989797441055,0.5091348684597309,112,2032.811952234438,1.1742998825532802,57.14285714285714,55,1819.735184281225,1.318327249094502,58.18181818181818,0.14402736654122172,1.1742998825532802,True,True,True,1701.5551542472494,71,29,45,6,57.53637058755082,2026-06-16T193145Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_primary_215_w1p9_r2p75_lb35_sym_1hatr_sl2p15_tp2p15_fee04,research/results/runs/2026-06-16T193145Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_primary_215_w1p9_r2p75_lb35_sym_1hatr_sl2p15_tp2p15_fee04.json
phase2e_focused_1h_semantic_primary_215_w2_r2p75_lb35_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2/r2.75/lb35,focused_1h,1h,2.15,2.0,2.75,0.75,35,167,3852.5471365156627,1.2216747020442422,57.48502994011976,-17.730989797441055,0.5091348684597309,112,2032.811952234438,1.1742998825532802,57.14285714285714,55,1819.735184281225,1.318327249094502,58.18181818181818,0.14402736654122172,1.1742998825532802,True,True,True,1701.5551542472494,71,29,45,6,57.53637058755082,2026-06-16T193644Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_primary_215_w2_r2p75_lb35_sym_1hatr_sl2p15_tp2p15_fee04,research/results/runs/2026-06-16T193644Z_ema_pullback_BTCUSDT_5m__phase2e_focused_1h_semantic_primary_215_w2_r2p75_lb35_sym_1hatr_sl2p15_tp2p15_fee04.json
