group,candidates,mean_pf,median_pf,max_pf,mean_pnl,median_pnl,max_pnl,mean_wr_pct,median_wr_pct,mean_trades,median_trades,pf_ge_1_18,both_sides_pf_gt_1,accepted,strict_symmetric,mean_gap,mean_dd_pct
control_1h,2,1.242654775898913,1.242654775898913,1.2792601104811878,4223.84424451144,4223.84424451144,4678.8424455511395,57.83932914654953,57.83932914654953,166.0,166.0,2,2,2,1,0.20360060771728616,-17.294798159416114
control_base,3,1.2035605596917203,1.2024903895381285,1.2179238407692008,3969.5640057755863,4008.6450152880157,4088.0166949111863,57.38397996751949,57.49999999999999,198.66666666666666,199.0,3,3,2,2,0.016751904132108104,-21.881482270828474
focused_1h,108,1.2037829815911272,1.1942837249983476,1.4347975311390617,3395.1617335533288,3022.0930955738922,6816.125646186411,57.201835217278315,57.10084033613445,162.24074074074073,164.5,68,91,26,8,0.34279470182728106,-21.46567191226048
