role,candidate_id,setup_label,group,rail,current_width,recent_width,width_lookback,trades,pnl,profit_factor,win_rate_pct,max_drawdown_pct,long_trades,long_pnl,long_profit_factor,short_trades,short_pnl,short_profit_factor,pf_symmetry_gap,phase2e_acceptance,strict_symmetric_acceptance,main_score
base_symmetric_reference,phase2e_control_base_sharp_core_base_w11_r12_lb10_sl2p15_tp2p15_fee04,base 2.15 w11/r12/lb10,control_base,2.15,11.0,12.0,10,197,4088.016694911186,1.2179238407692008,57.868020304568525,-20.34381371580478,110,2099.7414969540755,1.2139675510904966,87,1988.2751979571103,1.2222639283045622,0.0082963772140656,True,True,70.1201319970283
base_stability_reference,phase2e_control_base_main_stability_base_w11_r12_lb20_sl2p15_tp2p15_fee04,base 2.15 w11/r12/lb20,control_base,2.15,11.0,12.0,20,200,3812.0303071275575,1.2024903895381285,57.49999999999999,-20.347332172614266,113,1838.5790631162497,1.1835503683033417,87,1973.451244011308,1.2240272260752558,0.0404768577719143,True,True,64.95405829467525
phase2d_1h_control,phase2e_control_phase2d_1h_candidate_1h_w2p25_r2p75_lb35_sl2p15_tp2p15_fee04,1h 2.15 w2.25/r2.75/lb35,control_1h,2.15,2.25,2.75,35,163,4678.84244555114,1.2792601104811878,58.282208588957054,-15.79480010021488,110,2535.458705195559,1.221935014332132,53,2143.383740355581,1.402128607575325,0.1801935932431928,True,True,63.68807813143585
best_1h_strict_score,phase2e_focused_1h_semantic_primary_215_w2p2_r2p75_lb35_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2.2/r2.75/lb35,focused_1h,2.15,2.2,2.75,35,163,4678.84244555114,1.2792601104811878,58.282208588957054,-15.79480010021488,110,2535.458705195559,1.221935014332132,53,2143.383740355581,1.402128607575325,0.1801935932431928,True,True,63.68807813143585
most_symmetric_1h_accepted,phase2e_focused_1h_semantic_primary_215_w1p9_r2p75_lb35_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w1.9/r2.75/lb35,focused_1h,2.15,1.9,2.75,35,167,3852.547136515663,1.2216747020442422,57.48502994011976,-17.730989797441055,112,2032.811952234438,1.1742998825532802,55,1819.735184281225,1.318327249094502,0.1440273665412217,True,True,57.53637058755082
performance_1h_not_main,phase2e_focused_1h_semantic_primary_215_w1p9_r2p75_lb20_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w1.9/r2.75/lb20,focused_1h,2.15,1.9,2.75,20,150,5452.498858633169,1.3821196973641816,59.333333333333336,-17.10562261441565,103,2300.5643569349,1.2171853909304418,47,3151.9345016982697,1.8573294249770715,0.6401440340466296,False,False,65.22357219100458
upper_comparator_not_main,phase2e_focused_1h_semantic_upper_235_w2p3_r2p65_lb20_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2.3/r2.65/lb20,focused_1h,2.35,2.3,2.65,20,170,6550.260584268111,1.3643306207553525,60.0,-19.030338161798262,115,3561.1653653145504,1.2875691777574232,55,2989.095218953561,1.534224072080886,0.2466548943234627,True,False,65.04350867888098
