rail,current_width,recent_width,width_lookback,candidates,mean_pf,median_pf,max_pf,mean_pnl,median_pnl,max_pnl,mean_wr_pct,median_wr_pct,mean_trades,median_trades,pf_ge_1_18,both_sides_pf_gt_1,accepted,strict_symmetric,mean_gap,mean_dd_pct
2.15,1.9,2.65,20,1,1.1311081603042428,1.1311081603042428,1.1311081603042428,2336.913607273451,2336.913607273451,2336.913607273451,57.22543352601156,57.22543352601156,173.0,173.0,0,1,0,0,0.025937297623065847,-26.48101364322394
2.15,1.9,2.65,35,1,1.0212088412887266,1.0212088412887266,1.0212088412887266,445.3598631587187,445.3598631587187,445.3598631587187,55.154639175257735,55.154639175257735,194.0,194.0,0,1,0,0,0.004240738117226472,-32.6822288019171
2.15,1.9,2.65,50,1,1.033900170858877,1.033900170858877,1.033900170858877,836.1386905031108,836.1386905031108,836.1386905031108,54.761904761904766,54.761904761904766,210.0,210.0,0,0,0,0,0.24949183604917047,-35.192215547084025
2.15,1.9,2.75,20,1,1.3821196973641816,1.3821196973641816,1.3821196973641816,5452.498858633169,5452.498858633169,5452.498858633169,59.333333333333336,59.333333333333336,150.0,150.0,1,1,0,0,0.6401440340466296,-17.10562261441565
2.15,1.9,2.75,35,1,1.2216747020442422,1.2216747020442422,1.2216747020442422,3852.5471365156627,3852.5471365156627,3852.5471365156627,57.48502994011976,57.48502994011976,167.0,167.0,1,1,1,1,0.14402736654122172,-17.730989797441055
2.15,1.9,2.75,50,1,1.1167189403324218,1.1167189403324218,1.1167189403324218,2338.9337771119926,2338.9337771119926,2338.9337771119926,55.61797752808989,55.61797752808989,178.0,178.0,0,1,0,0,0.18699944939635005,-24.267585820530122
2.15,1.9,2.85,20,1,1.185131786780362,1.185131786780362,1.185131786780362,2240.401687726612,2240.401687726612,2240.401687726612,55.90551181102362,55.90551181102362,127.0,127.0,1,1,0,0,0.7060521509779953,-20.536546585902148
2.15,1.9,2.85,35,1,1.1522674369690473,1.1522674369690473,1.1522674369690473,2116.649139133721,2116.649139133721,2116.649139133721,56.02836879432624,56.02836879432624,141.0,141.0,0,0,0,0,0.7049514026796238,-21.64222185125684
2.15,1.9,2.85,50,1,1.190765764126313,1.190765764126313,1.190765764126313,2848.201352535739,2848.201352535739,2848.201352535739,56.666666666666664,56.666666666666664,150.0,150.0,1,1,0,0,0.4251261405530995,-18.907787239209327
2.15,2.0,2.65,20,1,1.1311081603042428,1.1311081603042428,1.1311081603042428,2336.913607273451,2336.913607273451,2336.913607273451,57.22543352601156,57.22543352601156,173.0,173.0,0,1,0,0,0.025937297623065847,-26.48101364322394
