rail,recent_width,candidates,mean_pf,median_pf,max_pf,mean_pnl,median_pnl,max_pnl,mean_wr_pct,median_wr_pct,mean_trades,median_trades,pf_ge_1_18,both_sides_pf_gt_1,accepted,strict_symmetric,mean_gap,mean_dd_pct
2.15,2.65,18,1.0792864613052757,1.0529695219972552,1.2388220688304687,1475.0225245934625,1128.2343973390048,3989.5764521657325,56.08924458834488,55.946119682094434,187.33333333333334,188.0,1,13,1,0,0.0700649938945271,-28.849189870472188
2.15,2.75,18,1.2641326660845438,1.250467406262715,1.3821196973641816,4251.891302095629,4265.694791033401,5452.498858633169,57.91032227887896,57.88361926453841,162.72222222222223,165.0,15,18,9,8,0.32533581476862183,-18.342129170668596
2.15,2.85,18,1.1927073664371066,1.1879487754533375,1.2499677042324167,2610.18916576334,2422.4415846284805,3610.999645927007,56.4270074648029,56.27505396238051,138.16666666666666,139.5,15,12,0,0,0.6465508820046597,-19.472442567843572
2.35,2.65,18,1.1600008330139946,1.1259145340800973,1.3643306207553525,3338.406660901761,2896.244831548139,6550.260584268111,58.00933880562203,57.8806675527987,186.33333333333334,187.0,6,18,6,0,0.1010276914006348,-24.253388007922624
2.35,2.75,18,1.3181942545886307,1.3120938416387187,1.4347975311390617,5665.939920599291,5831.850665204265,6816.125646186411,58.667265728694474,58.84649709950915,161.72222222222223,164.0,16,18,10,0,0.30837870915026633,-18.379362788863677
2.35,2.85,18,1.2083763081172116,1.2035226993793557,1.2677222197698998,3029.5208273664903,2812.456211177995,4169.13594793574,56.107832437326664,55.95933263816475,137.16666666666666,138.5,15,12,0,0,0.6054101197449765,-19.497519067792233
