candidate_id,favorite_id,run_kind,adx,profile,trades,pnl,pf,wr,dd_abs,long_trades,short_trades,long_pnl,short_pnl,long_pf,short_pf,gap,high_mfe_high,high_mfe_low,signal_exit_winners,signal_exit_giveback_failures,sl_low_mfe,sl_bad,branch,setup,trades_initial,trades_delta,pnl_initial,pnl_delta,pf_initial,pf_delta,wr_initial,wr_delta,dd_abs_initial,dd_abs_delta,long_pf_initial,long_pf_delta,short_pf_initial,short_pf_delta,gap_initial,gap_delta,trades_ratio,pf_improved,pnl_improved,gap_ok,trades_preserved,dd_not_much_worse,usable,score
phase3b_old_strict_base_6_14_adx40_runner_no_signal_fee04,old_strict_base_6_14,managed,40.0,runner_no_signal,11,-639.219571428573,0.20409644410770098,18.181818181818183,6.3921957142857195,8,3,-563.460600000001,-75.75897142857195,0.17580159813517715,0.36598156548918626,0.1901799673540091,,,,,,,historical_strict,base w12/r14/lb20 + base SL6/TP14,138,-127,2639.3666259281977,-3278.5861973567708,1.357132147028444,-1.1530357029207432,40.57971014492754,-22.397891963109355,11.175043077104775,-4.782847362819055,1.223430578011057,-1.04762897987588,1.5853111909017177,-1.2193296254125314,0.36188061289066065,-0.17170064553665154,0.07971014492753623,False,False,True,False,True,False,-118.5821564894311
phase3b_old_strict_base_6_14_adx40_runner_rsi85_15_fee04,old_strict_base_6_14,managed,40.0,runner_rsi85_15,138,13544.106285714455,1.454910874634555,38.405797101449274,38.50514363601385,80,58,9735.89204000011,3808.2142457143455,1.5504790187424087,1.3150700715728403,0.2354089471695684,,,,,,,historical_strict,base w12/r14/lb20 + base SL6/TP14,138,0,2639.3666259281977,10904.739659786257,1.357132147028444,0.09777872760611084,40.57971014492754,-2.173913043478265,11.175043077104775,27.330100558909074,1.223430578011057,0.32704844073135164,1.5853111909017177,-0.2702411193288774,0.36188061289066065,-0.12647166572109225,1.0,True,True,True,True,False,False,-33.977588697420806
phase3b_old_strict_base_6_14_adx40_runner_rsi90_10_fee04,old_strict_base_6_14,managed,40.0,runner_rsi90_10,135,16788.943857143022,1.558449728986174,36.2962962962963,31.258767761846784,78,57,5834.834640000102,10954.10921714292,1.3178569838502217,1.9357135714009812,0.6178565875507596,,,,,,,historical_strict,base w12/r14/lb20 + base SL6/TP14,138,-3,2639.3666259281977,14149.577231214824,1.357132147028444,0.20131758195772997,40.57971014492754,-4.283413848631241,11.175043077104775,20.08372468474201,1.223430578011057,0.09442640583916462,1.5853111909017177,0.35040238049926353,0.36188061289066065,0.2559759746600989,0.9782608695652174,True,True,False,True,False,False,-11.005633435698172
phase3b_old_strict_base_6_14_adx40_runner_ema100_200_fee04,old_strict_base_6_14,managed,40.0,runner_ema100_200,134,12870.18172000017,1.4896511026064352,41.04477611940299,30.244393371186973,77,57,5510.981320000111,7359.20040000006,1.3334187209209685,1.7543501354300006,0.42093141450903215,,,,,,,historical_strict,base w12/r14/lb20 + base SL6/TP14,138,-4,2639.3666259281977,10230.815094071972,1.357132147028444,0.1325189555779911,40.57971014492754,0.4650659744754506,11.175043077104775,19.0693502940822,1.223430578011057,0.10998814290991143,1.5853111909017177,0.16903894452828294,0.36188061289066065,0.05905080161837151,0.9710144927536232,True,True,False,True,False,False,-15.837005968660748
phase3b_old_strict_base_6_14_adx40_runner_rsi85_15_plus_ema100_200_fee04,old_strict_base_6_14,managed,40.0,runner_rsi85_15_plus_ema100_200,138,10759.69278857159,1.3911125416227146,40.57971014492754,38.27359036607556,80,58,4861.114160000106,5898.578628571484,1.2797827105514603,1.5819507667670278,0.3021680562155675,,,,,,,historical_strict,base w12/r14/lb20 + base SL6/TP14,138,0,2639.3666259281977,8120.326162643392,1.357132147028444,0.03398039459427049,40.57971014492754,0.0,11.175043077104775,27.098547288970785,1.223430578011057,0.05635213254040328,1.5853111909017177,-0.0033604241346898434,0.36188061289066065,-0.05971255667509312,1.0,True,True,False,True,False,False,-42.67872895587113
phase3b_old_strict_base_6_14_adx40_runner_rsi90_10_plus_ema100_200_fee04,old_strict_base_6_14,managed,40.0,runner_rsi90_10_plus_ema100_200,135,13656.088800000172,1.5106092225674042,40.74074074074074,30.70493383940124,78,57,3534.2838000001125,10121.80500000006,1.2080334827007666,2.037529155007933,0.8294956723071663,,,,,,,historical_strict,base w12/r14/lb20 + base SL6/TP14,138,-3,2639.3666259281977,11016.722174071974,1.357132147028444,0.15347707553896006,40.57971014492754,0.16103059581320167,11.175043077104775,19.529890762296464,1.223430578011057,-0.015397095310290432,1.5853111909017177,0.4522179641062152,0.36188061289066065,0.4676150594165056,0.9782608695652174,True,True,False,True,False,False,-22.04765298495506
phase3b_old_strict_base_6_14_adx45_runner_no_signal_fee04,old_strict_base_6_14,managed,45.0,runner_no_signal,63,-4610.501154285721,0.6806709959110065,30.158730158730158,57.77563948833969,40,23,-2529.528479999994,-2080.9726742857274,0.6950979050035049,0.6611837572053748,0.03391414779813007,,,,,,,historical_strict,base w12/r14/lb20 + base SL6/TP14,138,-75,2639.3666259281977,-7249.867780213919,1.357132147028444,-0.6764611511174375,40.57971014492754,-10.42097998619738,11.175043077104775,46.60059641123492,1.223430578011057,-0.5283326730075522,1.5853111909017177,-0.9241274336963429,0.36188061289066065,-0.3279664650925306,0.45652173913043476,False,False,True,False,False,False,-168.09717571442752
phase3b_old_strict_base_6_14_adx45_runner_rsi85_15_fee04,old_strict_base_6_14,managed,45.0,runner_rsi85_15,139,9799.17318857162,1.3306407131646583,39.568345323741006,37.77148859125794,80,59,7186.012400000123,2613.1607885714966,1.406305764111863,1.2186616558193768,0.18764410829248623,,,,,,,historical_strict,base w12/r14/lb20 + base SL6/TP14,138,1,2639.3666259281977,7159.806562643422,1.357132147028444,-0.02649143386378583,40.57971014492754,-1.0113648211865325,11.175043077104775,26.596445514153167,1.223430578011057,0.182875186100806,1.5853111909017177,-0.3666495350823409,0.36188061289066065,-0.1742365045981744,1.0072463768115942,False,True,True,True,False,False,-48.68222785204149
phase3b_old_strict_base_6_14_adx45_runner_rsi90_10_fee04,old_strict_base_6_14,managed,45.0,runner_rsi90_10,138,14964.704640000196,1.5084235979644185,39.130434782608695,33.73125863998758,80,58,5329.198280000124,9635.506360000072,1.2983368782915208,1.8327638622590918,0.534426983967571,,,,,,,historical_strict,base w12/r14/lb20 + base SL6/TP14,138,0,2639.3666259281977,12325.338014071998,1.357132147028444,0.1512914509359744,40.57971014492754,-1.4492753623188435,11.175043077104775,22.556215562882805,1.223430578011057,0.07490630028046374,1.5853111909017177,0.24745267135737414,0.36188061289066065,0.1725463710769104,1.0,True,True,False,True,False,False,-21.108875439634378
phase3b_old_strict_base_6_14_adx45_runner_ema100_200_fee04,old_strict_base_6_14,managed,45.0,runner_ema100_200,137,13078.079805714502,1.4790401453327837,40.14598540145985,33.460511245177535,79,58,4420.807440000147,8657.272365714356,1.2535343522743827,1.8776747780780048,0.6241404258036221,,,,,,,historical_strict,base w12/r14/lb20 + base SL6/TP14,138,-1,2639.3666259281977,10438.713179786304,1.357132147028444,0.12190799830433963,40.57971014492754,-0.4337247434676854,11.175043077104775,22.28546816807276,1.223430578011057,0.030103774263325667,1.5853111909017177,0.2923635871762871,0.36188061289066065,0.2622598129129614,0.9927536231884058,True,True,False,True,False,False,-27.186619584184484
phase3b_old_strict_base_6_14_adx45_runner_rsi85_15_plus_ema100_200_fee04,old_strict_base_6_14,managed,45.0,runner_rsi85_15_plus_ema100_200,139,8764.417154285924,1.3114455840701709,39.568345323741006,37.77148859125794,80,59,4185.313160000143,4579.10399428578,1.2338552572006354,1.447000783616017,0.21314552641538165,,,,,,,historical_strict,base w12/r14/lb20 + base SL6/TP14,138,1,2639.3666259281977,6125.050528357726,1.357132147028444,-0.045686562958273225,40.57971014492754,-1.0113648211865325,11.175043077104775,26.596445514153167,1.223430578011057,0.010424679189578345,1.5853111909017177,-0.13831040728570065,0.36188061289066065,-0.148735086475279,1.0072463768115942,False,True,True,True,False,False,-51.63649679577593
phase3b_old_strict_base_6_14_adx45_runner_rsi90_10_plus_ema100_200_fee04,old_strict_base_6_14,managed,45.0,runner_rsi90_10_plus_ema100_200,138,11900.0787257145,1.4286633388233159,39.85507246376812,33.73125863998758,80,58,3097.7483600001437,8802.330365714355,1.1730873441906688,1.89238076659035,0.7192934223996812,,,,,,,historical_strict,base w12/r14/lb20 + base SL6/TP14,138,0,2639.3666259281977,9260.712099786302,1.357132147028444,0.07153119179487177,40.57971014492754,-0.7246376811594217,11.175043077104775,22.556215562882805,1.223430578011057,-0.05034323382038819,1.5853111909017177,0.30706957568863236,0.36188061289066065,0.35741280950902055,1.0,True,True,False,True,False,False,-35.84685603667254
