candidate_id,favorite_id,run_kind,adx,profile,trades,pnl,pf,wr,dd_abs,long_trades,short_trades,long_pnl,short_pnl,long_pf,short_pf,gap,high_mfe_high,high_mfe_low,signal_exit_winners,signal_exit_giveback_failures,sl_low_mfe,sl_bad,branch,setup
phase3b_old_strict_base_6_14_initial_control_fee04,old_strict_base_6_14,initial,,initial_control,138,2639.3666259281977,1.357132147028444,40.57971014492754,11.175043077104775,80,58,1041.1752216140958,1598.1914043141019,1.223430578011057,1.5853111909017177,0.36188061289066065,25.0,2.0,,,52.0,82.0,historical_strict,base w12/r14/lb20 + base SL6/TP14
phase3b_old_strict_base_6_14_adx40_runner_no_signal_fee04,old_strict_base_6_14,managed,40.0,runner_no_signal,11,-639.219571428573,0.20409644410770098,18.181818181818183,6.3921957142857195,8,3,-563.460600000001,-75.75897142857195,0.17580159813517715,0.36598156548918626,0.1901799673540091,,,,,,,historical_strict,base w12/r14/lb20 + base SL6/TP14
phase3b_old_strict_base_6_14_adx40_runner_rsi85_15_fee04,old_strict_base_6_14,managed,40.0,runner_rsi85_15,138,13544.106285714455,1.454910874634555,38.405797101449274,38.50514363601385,80,58,9735.89204000011,3808.2142457143455,1.5504790187424087,1.3150700715728403,0.2354089471695684,,,,,,,historical_strict,base w12/r14/lb20 + base SL6/TP14
phase3b_old_strict_base_6_14_adx40_runner_rsi90_10_fee04,old_strict_base_6_14,managed,40.0,runner_rsi90_10,135,16788.943857143022,1.558449728986174,36.2962962962963,31.258767761846784,78,57,5834.834640000102,10954.10921714292,1.3178569838502217,1.9357135714009812,0.6178565875507596,,,,,,,historical_strict,base w12/r14/lb20 + base SL6/TP14
phase3b_old_strict_base_6_14_adx40_runner_ema100_200_fee04,old_strict_base_6_14,managed,40.0,runner_ema100_200,134,12870.18172000017,1.4896511026064352,41.04477611940299,30.244393371186973,77,57,5510.981320000111,7359.20040000006,1.3334187209209685,1.7543501354300006,0.42093141450903215,,,,,,,historical_strict,base w12/r14/lb20 + base SL6/TP14
phase3b_old_strict_base_6_14_adx40_runner_rsi85_15_plus_ema100_200_fee04,old_strict_base_6_14,managed,40.0,runner_rsi85_15_plus_ema100_200,138,10759.69278857159,1.3911125416227146,40.57971014492754,38.27359036607556,80,58,4861.114160000106,5898.578628571484,1.2797827105514603,1.5819507667670278,0.3021680562155675,,,,,,,historical_strict,base w12/r14/lb20 + base SL6/TP14
phase3b_old_strict_base_6_14_adx40_runner_rsi90_10_plus_ema100_200_fee04,old_strict_base_6_14,managed,40.0,runner_rsi90_10_plus_ema100_200,135,13656.088800000172,1.5106092225674042,40.74074074074074,30.70493383940124,78,57,3534.2838000001125,10121.80500000006,1.2080334827007666,2.037529155007933,0.8294956723071663,,,,,,,historical_strict,base w12/r14/lb20 + base SL6/TP14
phase3b_old_strict_base_6_14_adx45_runner_no_signal_fee04,old_strict_base_6_14,managed,45.0,runner_no_signal,63,-4610.501154285721,0.6806709959110065,30.158730158730158,57.77563948833969,40,23,-2529.528479999994,-2080.9726742857274,0.6950979050035049,0.6611837572053748,0.03391414779813007,,,,,,,historical_strict,base w12/r14/lb20 + base SL6/TP14
phase3b_old_strict_base_6_14_adx45_runner_rsi85_15_fee04,old_strict_base_6_14,managed,45.0,runner_rsi85_15,139,9799.17318857162,1.3306407131646583,39.568345323741006,37.77148859125794,80,59,7186.012400000123,2613.1607885714966,1.406305764111863,1.2186616558193768,0.18764410829248623,,,,,,,historical_strict,base w12/r14/lb20 + base SL6/TP14
phase3b_old_strict_base_6_14_adx45_runner_rsi90_10_fee04,old_strict_base_6_14,managed,45.0,runner_rsi90_10,138,14964.704640000196,1.5084235979644185,39.130434782608695,33.73125863998758,80,58,5329.198280000124,9635.506360000072,1.2983368782915208,1.8327638622590918,0.534426983967571,,,,,,,historical_strict,base w12/r14/lb20 + base SL6/TP14
phase3b_old_strict_base_6_14_adx45_runner_ema100_200_fee04,old_strict_base_6_14,managed,45.0,runner_ema100_200,137,13078.079805714502,1.4790401453327837,40.14598540145985,33.460511245177535,79,58,4420.807440000147,8657.272365714356,1.2535343522743827,1.8776747780780048,0.6241404258036221,,,,,,,historical_strict,base w12/r14/lb20 + base SL6/TP14
phase3b_old_strict_base_6_14_adx45_runner_rsi85_15_plus_ema100_200_fee04,old_strict_base_6_14,managed,45.0,runner_rsi85_15_plus_ema100_200,139,8764.417154285924,1.3114455840701709,39.568345323741006,37.77148859125794,80,59,4185.313160000143,4579.10399428578,1.2338552572006354,1.447000783616017,0.21314552641538165,,,,,,,historical_strict,base w12/r14/lb20 + base SL6/TP14
phase3b_old_strict_base_6_14_adx45_runner_rsi90_10_plus_ema100_200_fee04,old_strict_base_6_14,managed,45.0,runner_rsi90_10_plus_ema100_200,138,11900.0787257145,1.4286633388233159,39.85507246376812,33.73125863998758,80,58,3097.7483600001437,8802.330365714355,1.1730873441906688,1.89238076659035,0.7192934223996812,,,,,,,historical_strict,base w12/r14/lb20 + base SL6/TP14
phase3b_old_strict_base_5_20_initial_control_fee04,old_strict_base_5_20,initial,,initial_control,139,2601.358244188775,1.3428646140792133,29.496402877697843,14.578558941103026,80,59,1993.7972097456748,607.5610344431004,1.4453110955153152,1.195368777660629,0.24994231785468624,28.0,8.0,,,55.0,98.0,historical_strict_runner,base w12/r14/lb20 + base SL5/TP20
phase3b_old_strict_base_5_20_adx40_runner_no_signal_fee04,old_strict_base_5_20,managed,40.0,runner_no_signal,11,-530.5185142857173,0.24783897206558944,9.090909090909092,5.30518514285715,8,3,-403.31040000000144,-127.20811428571585,0.30237308118624895,0.0,0.30237308118624895,,,,,,,historical_strict_runner,base w12/r14/lb20 + base SL5/TP20
phase3b_old_strict_base_5_20_adx40_runner_rsi85_15_fee04,old_strict_base_5_20,managed,40.0,runner_rsi85_15,138,10293.959445714412,1.3411723080616904,29.71014492753623,52.20143262751573,80,58,7723.590140000075,2570.3693057143378,1.445852252546583,1.2000425506642125,0.2458097018823704,,,,,,,historical_strict_runner,base w12/r14/lb20 + base SL5/TP20
phase3b_old_strict_base_5_20_adx40_runner_rsi90_10_fee04,old_strict_base_5_20,managed,40.0,runner_rsi90_10,136,14128.118920000126,1.4597371534787655,26.47058823529412,49.755753546438164,78,58,4453.216080000071,9674.902840000055,1.2509995723711442,1.7448572936846778,0.49385772131353356,,,,,,,historical_strict_runner,base w12/r14/lb20 + base SL5/TP20
phase3b_old_strict_base_5_20_adx40_runner_ema100_200_fee04,old_strict_base_5_20,managed,40.0,runner_ema100_200,135,11809.802385714438,1.4216354475935713,28.888888888888886,57.61689368817515,77,58,2666.905120000099,9142.89726571434,1.160567779583424,1.8019879141568285,0.6414201345734045,,,,,,,historical_strict_runner,base w12/r14/lb20 + base SL5/TP20
phase3b_old_strict_base_5_20_adx40_runner_rsi85_15_plus_ema100_200_fee04,old_strict_base_5_20,managed,40.0,runner_rsi85_15_plus_ema100_200,138,7145.915851428728,1.2530029684720256,31.15942028985507,51.90858803782188,80,58,2847.5484800001004,4298.367371428628,1.167661398300406,1.3817218068878598,0.2140604085874538,,,,,,,historical_strict_runner,base w12/r14/lb20 + base SL5/TP20
phase3b_old_strict_base_5_20_adx40_runner_rsi90_10_plus_ema100_200_fee04,old_strict_base_5_20,managed,40.0,runner_rsi90_10_plus_ema100_200,136,10204.59512571445,1.3633091398374872,29.411764705882355,48.46640601719846,78,58,1664.8390200001045,8539.756105714345,1.099764923562025,1.74908215498742,0.649317231425395,,,,,,,historical_strict_runner,base w12/r14/lb20 + base SL5/TP20
phase3b_old_strict_base_5_20_adx45_runner_no_signal_fee04,old_strict_base_5_20,managed,45.0,runner_no_signal,11,-439.41065714285935,0.35363195269569675,18.181818181818183,4.816220571428587,8,3,-403.31040000000144,-36.10025714285791,0.30237308118624895,0.6450226119125984,0.3426495307263494,,,,,,,historical_strict_runner,base w12/r14/lb20 + base SL5/TP20
phase3b_old_strict_base_5_20_adx45_runner_rsi85_15_fee04,old_strict_base_5_20,managed,45.0,runner_rsi85_15,139,9791.917048571548,1.3276975500350592,30.215827338129497,49.26222333641983,80,59,7332.917900000101,2458.999148571446,1.4233002922464981,1.1958152093134224,0.22748508293307568,,,,,,,historical_strict_runner,base w12/r14/lb20 + base SL5/TP20
phase3b_old_strict_base_5_20_adx45_runner_rsi90_10_fee04,old_strict_base_5_20,managed,45.0,runner_rsi90_10,138,16079.99092857155,1.537732681456456,29.71014492753623,46.56203739221737,79,59,6708.227780000105,9371.763148571446,1.386740260647104,1.7462929638017395,0.3595527031546355,,,,,,,historical_strict_runner,base w12/r14/lb20 + base SL5/TP20
phase3b_old_strict_base_5_20_adx45_runner_ema100_200_fee04,old_strict_base_5_20,managed,45.0,runner_ema100_200,137,17728.764000000145,1.619824463634958,29.927007299270077,45.25582724310569,78,59,4756.947120000122,12971.816880000022,1.2730536370003107,2.1601051835575884,0.8870515465572777,,,,,,,historical_strict_runner,base w12/r14/lb20 + base SL5/TP20
phase3b_old_strict_base_5_20_adx45_runner_rsi85_15_plus_ema100_200_fee04,old_strict_base_5_20,managed,45.0,runner_rsi85_15_plus_ema100_200,139,8426.686020000141,1.293453265214447,30.215827338129497,49.26222333641983,80,59,4332.218660000122,4094.4673600000197,1.247075161846516,1.3661794529004612,0.11910429105394527,,,,,,,historical_strict_runner,base w12/r14/lb20 + base SL5/TP20
phase3b_old_strict_base_5_20_adx45_runner_rsi90_10_plus_ema100_200_fee04,old_strict_base_5_20,managed,45.0,runner_rsi90_10_plus_ema100_200,138,12606.71002000014,1.4395448811127942,30.434782608695656,45.99002165436254,79,59,4305.560660000122,8301.14936000002,1.2460363451780323,1.7423945690190594,0.4963582238410271,,,,,,,historical_strict_runner,base w12/r14/lb20 + base SL5/TP20
