width,rail,pnl_delta,pf_delta,dd_delta,long_pf_delta,short_pf_delta,base_pnl,new_pnl
8,2.45,467.772618402254,0.009343986978400665,-0.010159529004117429,0.0493308432198456,-0.025525606127026923,2486.0615546283275,2953.8341730305815
9,2.45,1067.5793903425524,0.021580950312259706,-0.0063808114877632605,0.05617911954934662,-0.012213672891028704,3878.0095235021276,4945.58891384468
10,2.45,521.6777566697401,0.013772711781762093,-0.007431101544119301,0.04198972204605622,-0.031021562193101815,4451.660837800331,4973.338594470071
11,2.45,-146.9729913637002,-0.01237312207574126,-0.008134437475000422,0.015458934261352475,-0.04368988827689124,3934.3138007704406,3787.3408094067404
14,2.45,-242.5798609873168,-0.04439180035281076,-0.0035596253498024755,0.03501820091543639,-0.208924863589677,1862.4110104602782,1619.8311494729614
16,2.45,-406.09229785491925,-0.16980184637037365,-9.992007221626409e-16,0.007848295185424403,-0.4104133687298668,3226.1644741249097,2820.0721762699905
8,2.5,-381.43435362539776,-0.007561523538990977,-0.0451881997811453,0.02746886264258941,-0.038391854217491916,2486.0615546283275,2104.6272010029297
9,2.5,866.5003798331077,0.017235057221024697,-0.024025795686078766,0.03201963934007579,0.002602046150732118,3878.0095235021276,4744.509903335235
10,2.5,513.8638504499258,0.013262580698976345,0.01180904309522579,0.01997348949079425,0.0020907872892361734,4451.660837800331,4965.524688250257
11,2.5,-65.05858686649026,-0.009497993598126753,0.030246916156286163,-0.014236689738680974,-0.003772485277079518,3934.3138007704406,3869.2552139039503
14,2.5,62.93529326824523,-0.005709658440447241,0.013127532180608692,0.036890645186624105,-0.09923535286309892,1862.4110104602782,1925.3463037285235
16,2.5,-48.434059914648515,-0.07213562215983349,-0.029713259666661385,0.00788300761283156,-0.1852993396370648,3226.1644741249097,3177.730414210261
