rail,width_lookback,candidates,mean_pf,median_pf,max_pf,mean_pnl,median_pnl,max_pnl,mean_wr_pct,median_wr_pct,mean_trades,median_trades,pf_ge_1_18,both_sides_pf_gt_1,main_acceptance,mean_gap,mean_dd_pct
2.15,10,21,1.065595390845002,1.0388459377219208,1.4917736874267633,782.6277233113142,257.94064354314435,3684.6168037418292,55.60991004249446,55.00000000000001,124.42857142857143,79.0,5,7,0,0.4439774933675958,-17.69090369064657
2.15,20,21,1.1089212240774313,1.0375254599854693,1.5358533636776683,971.2499146369698,378.01096805975163,5452.498858633169,55.979119210831,55.4054054054054,134.9047619047619,91.0,8,5,0,0.5538091831485995,-18.94270500972422
2.15,35,21,1.126566684585543,1.056576725622045,1.7640416727613575,984.4787411973372,308.47734167827554,4966.481156146684,55.961233416373204,55.714285714285715,143.52380952380952,100.0,8,7,2,0.5187019062720291,-19.835833932368512
2.15,50,21,1.0720758145464324,1.0438843557480793,1.3717759579587288,939.7375123300418,222.23647449252536,5035.860976817936,55.55550974696863,55.61797752808989,148.61904761904762,105.0,5,6,1,0.34279139696698724,-20.42691788623856
2.35,10,21,1.1459987768398843,1.134829547769599,1.5046078967061067,1561.209632233211,715.6914801127717,5392.502649477589,57.05880577831485,56.896551724137936,123.76190476190476,79.0,10,8,0,0.5208578607375182,-16.76981230530419
2.35,20,21,1.2321389988540878,1.1368819552322513,1.9033783851054433,1888.492363513084,939.4098475119666,6816.125646186411,57.722750722154736,56.666666666666664,134.04761904761904,90.0,9,7,0,0.7875047093298901,-18.28689264804973
2.35,35,21,1.2366844385198288,1.231838393619938,1.7796249107452224,1916.577630343108,842.6354046987539,6331.327125221177,57.50795247019766,57.534246575342465,142.66666666666666,99.0,11,10,2,0.6239132732026844,-19.134906177149208
2.35,50,21,1.2640189681146425,1.1569238438148564,2.208621669777759,1868.8095958674471,1182.5046180390843,6315.487401761277,57.542558168879125,56.49717514124294,147.76190476190476,104.0,9,10,1,0.7099600885478056,-19.579147983229856
2.45,20,6,1.294941169827058,1.2729351138194933,1.5227491926291474,4111.094987373614,3751.746206308908,8439.309620732201,58.82888198319728,58.60972285324853,123.0,114.5,4,4,0,0.5410707565002878,-19.38388606783629
2.45,35,6,1.3235941349363995,1.3653544340606218,1.4874132955808343,4486.784897775201,4123.151961171155,7891.243646927651,59.14928224759162,59.155777963117416,129.66666666666666,120.0,4,5,1,0.45214988771994546,-19.349195362131763
