candidate_id,setup_label,group,width_atr_timeframe,rail,current_width,recent_width,recent_delta,width_lookback,trades,pnl,profit_factor,win_rate_pct,sharpe,max_drawdown_pct,long_trades,long_pnl,long_profit_factor,long_win_rate_pct,short_trades,short_pnl,short_profit_factor,short_win_rate_pct,pf_symmetry_gap,min_side_pf,both_sides_pf_gt_1,main_acceptance,fees_paid,stop_loss_after_bad_context,stop_loss_after_low_mfe,high_mfe_high_capture_count,high_mfe_low_capture_count,bounce_score
phase2d_transition_tail_1h_transition_245_w2p25_r2p75_lb35_sym_1hatr_sl2p45_tp2p45_fee04,1h 2.45 w2.25/r2.75/lb35,transition_tail_1h_width,1h,2.45,2.25,2.75,0.5,35,162,7891.243646927651,1.4131252435130677,60.49382716049383,0.78177976583667,-17.710169387404928,110,4934.610978278859,1.3853535417969849,60.909090909090914,52,2956.632668648793,1.4696107040329736,59.61538461538461,0.08425716223598867,1.3853535417969849,True,True,1810.2871947593005,64,25,56,7,66.07163985770546
phase2d_broad_1h_semantic_upper_235_w2p25_r2p75_lb35_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2.25/r2.75/lb35,broad_1h_width_main,1h,2.35,2.25,2.75,0.5,35,162,6331.327125221177,1.3446903336295521,59.25925925925925,0.7000902409460141,-17.27344757692826,110,3544.547132470574,1.2830218270708318,59.09090909090909,52,2786.7799927506035,1.4768434437402045,59.61538461538461,0.1938216166693727,1.2830218270708318,True,True,1754.6011980960361,66,25,53,7,64.32217119940294
phase2d_base_control_base_sharp_core_w11_r12_lb10_sl2p15_tp2p15_fee04,base 2.15 w11/r12/lb10,base_control,base,2.15,11.0,12.0,1.0,10,197,4088.0166949111863,1.2179238407692008,57.868020304568525,0.5013723873014091,-20.34381371580478,110,2099.7414969540755,1.2139675510904966,60.0,87,1988.2751979571105,1.2222639283045622,55.172413793103445,0.00829637721406562,1.2139675510904966,True,True,1908.6627918662386,83,45,45,5,62.425949502497836
phase2d_broad_1h_semantic_upper_235_w2_r2p75_lb35_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2/r2.75/lb35,broad_1h_width_main,1h,2.35,2.0,2.75,0.75,35,166,5332.374205187354,1.2794973496478854,58.43373493975904,0.6122622774309737,-17.27344757692826,112,2960.4275591936635,1.2318170748394566,58.03571428571429,54,2371.946645993691,1.3760273432144623,59.25925925925925,0.14421026837500572,1.2318170748394566,True,True,1753.0178724365405,69,25,54,7,58.84852401713595
phase2d_base_control_base_main_stability_w11_r12_lb20_sl2p15_tp2p15_fee04,base 2.15 w11/r12/lb20,base_control,base,2.15,11.0,12.0,1.0,20,200,3812.0303071275575,1.2024903895381285,57.49999999999999,0.4755075288392745,-20.347332172614262,113,1838.5790631162497,1.1835503683033415,59.29203539823009,87,1973.451244011308,1.2240272260752558,55.172413793103445,0.04047685777191434,1.1835503683033415,True,True,1912.1041216119995,85,46,45,5,57.47001239090606
phase2d_base_control_base_upper_pnl_w11_r12_lb10_sl2p35_tp2p35_fee04,base 2.35 w11/r12/lb10,base_control,base,2.35,11.0,12.0,1.0,10,196,4311.636866549699,1.205158874575288,57.14285714285714,0.4961500507523078,-23.614836144166773,110,2415.670614804114,1.2219948615521226,60.0,86,1895.9662517455854,1.1870815660742675,53.48837209302325,0.034913295477855044,1.1870815660742675,True,True,1931.4533976304829,84,43,54,5,56.05414993443445
phase2d_broad_1h_semantic_primary_215_w2p25_r2p75_lb35_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2.25/r2.75/lb35,broad_1h_width_main,1h,2.15,2.25,2.75,0.5,35,163,4678.8424455511395,1.2792601104811878,58.282208588957054,0.5955366893061772,-15.794800100214879,110,2535.458705195559,1.2219350143321321,58.18181818181818,53,2143.383740355581,1.402128607575325,58.490566037735846,0.18019359324319284,1.2219350143321321,True,True,1699.639301770836,68,29,44,6,55.6029309393686
phase2d_broad_1h_semantic_upper_235_w2p25_r2p75_lb50_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2.25/r2.75/lb50,broad_1h_width_main,1h,2.35,2.25,2.75,0.5,50,168,5227.666940875591,1.260056610307592,58.333333333333336,0.581569695649149,-19.09463507297583,113,2365.9931854975393,1.1785853430411568,57.52212389380531,55,2861.6737553780517,1.4175489437437683,60.0,0.23896360070261147,1.1785853430411568,True,True,1769.3641093514955,70,26,55,8,50.71835610990527
phase2d_broad_1h_semantic_primary_215_w2_r2p75_lb35_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2/r2.75/lb35,broad_1h_width_main,1h,2.15,2.0,2.75,0.75,35,167,3852.5471365156627,1.2216747020442422,57.48502994011976,0.5091348684597309,-17.730989797441055,112,2032.811952234438,1.1742998825532802,57.14285714285714,55,1819.735184281225,1.318327249094502,58.18181818181818,0.14402736654122172,1.1742998825532802,True,True,1701.5551542472494,71,29,45,6,49.978457685492565
phase2d_broad_1h_semantic_primary_215_w2p25_r2p75_lb50_sym_1hatr_sl2p15_tp2p15_fee04,1h 2.15 w2.25/r2.75/lb50,broad_1h_width_main,1h,2.15,2.25,2.75,0.5,50,169,3768.846043471739,1.2060494413166383,57.396449704142015,0.4800190178745963,-18.79479621861735,113,1553.636980145732,1.1287755459427113,56.63716814159292,56,2215.209063326007,1.3557831681340908,58.92857142857143,0.2270076221913795,1.1287755459427113,True,True,1718.1985756026997,72,30,46,7,42.97256206333409
