rail,current_width,candidates,mean_pf,median_pf,max_pf,mean_pnl,median_pnl,max_pnl,mean_wr_pct,median_wr_pct,mean_trades,median_trades,pf_ge_1_18,both_sides_pf_gt_1,main_acceptance,mean_gap,mean_dd_pct
2.15,1.75,12,1.004215211295249,0.9917906372489367,1.1221024186595994,-48.97798702044918,-302.70503907521595,2861.3211711580566,53.80670486961869,53.29017208626662,340.75,340.5,0,1,0,0.07345833414466431,-32.79347471238258
2.15,2.0,12,1.089998219139486,1.0247860868679664,1.3821196973641816,1309.55596684523,671.5223986990305,5452.498858633169,55.226024297763665,54.52389475568283,237.5,232.5,3,5,1,0.18190534213636012,-28.750537429678165
2.15,2.25,12,1.2256521535524225,1.242654775898913,1.3918164623770695,3122.5188585431283,3540.550844198435,5452.498858633169,57.463369307440615,57.658620891674964,155.25,156.5,7,11,2,0.4279669968863186,-18.101230720178453
2.15,2.5,12,1.1998873885386176,1.2702615680385287,1.386232465732207,2225.8213709237484,2546.015410770594,5035.860976817936,57.43321036022697,57.86830357142857,100.08333333333333,95.5,7,7,0,0.6277464656324823,-16.12500341300049
2.15,2.75,12,0.9948937320110626,1.024645533011942,1.241893300345138,164.87443931183978,142.88249845550135,1847.762489825768,54.62699392637507,55.005561735261395,66.5,66.0,1,1,0,0.39061674687498105,-16.058778203000095
2.15,3.0,12,0.9616836394637122,0.8432470512113359,1.4917736874267633,-409.85347296448793,-715.5601482949469,494.14905964371536,54.41400742400384,52.58697591436218,41.083333333333336,44.0,2,0,0,0.3369126229743962,-12.871735504960682
2.15,3.25,12,1.176698105594666,1.1617491536253748,1.7640416727613575,72.72513444340035,205.89856402196378,547.8016229127863,57.46479154373892,58.71212121212122,23.916666666666668,21.0,6,0,0,1.2151334559224178,-9.867870925010797
2.35,1.75,12,1.0370413067290767,1.0166099849438979,1.180981893927124,1147.8072735111307,814.1113764722209,4724.371323594561,54.74305364977684,54.35881983020648,338.1666666666667,338.5,1,3,0,0.11000832301806156,-30.875950585414667
2.35,2.0,12,1.1350229418383444,1.0758003920975963,1.4347975311390617,2739.8753160288766,2347.8135453898135,6816.125646186411,56.25692193587009,55.748587570621474,236.16666666666666,231.5,4,6,1,0.20682058645773982,-26.244878151349127
2.35,2.25,12,1.2735654311748859,1.2806046251785745,1.4347975311390617,4365.466677218444,4273.230767721612,6816.125646186411,58.14317556533276,58.138629283489095,154.33333333333334,155.5,9,11,2,0.4158613874831833,-17.557097187752788
2.35,2.5,12,1.2403839509510834,1.2927661993765645,1.444209354566079,2794.99132976559,2928.86328283256,6315.487401761277,57.68236279744391,57.5821341297855,99.5,94.5,7,9,0,0.5547415212810415,-18.7271306632669
2.35,2.75,12,1.1035240900844447,1.0928054900653073,1.2864062549158028,695.3675267033681,616.7479996964639,2136.500613805706,56.19370331955241,55.90592334494774,66.25,66.0,3,6,0,0.39449293566338106,-15.875485410627675
2.35,3.0,12,1.203683774395707,1.0566285434192326,1.9033783851054433,208.88870605482535,210.59822676064368,1182.5046180390843,57.897901700389525,56.088794926004226,41.083333333333336,44.0,4,0,0,0.7974659800454372,-11.218295502656249
2.35,3.25,12,1.544750573901234,1.5274998278660163,2.208621669777759,709.0093091422535,671.7768621863197,1429.7613419217644,61.28899852584063,61.32478632478633,23.916666666666668,21.0,11,0,0,2.144522146732478,-8.599990947965315
2.45,2.25,4,1.309713753423646,1.2873321922208896,1.5227491926291474,6247.002681609545,6274.704586419124,8439.309620732201,59.85954464289739,59.82437836897931,185.5,187.5,2,2,1,0.29917381154455414,-19.281978197628828
2.45,2.5,4,1.420389752912688,1.4344132066438553,1.4874132955808343,5153.394828535974,5304.521670382135,7159.209086672405,59.6995749628537,60.01380713610929,117.25,119.0,4,4,0,0.6955039440588717,-21.048926285971962
2.45,2.75,4,1.197699450808852,1.1843695538168502,1.317583624608176,1496.4223175777024,1365.9325068079684,2655.2841123549015,57.408126740432245,57.5487012987013,76.25,77.5,2,3,0,0.495153210726924,-17.768717661351292
