group,candidates,mean_pf,median_pf,max_pf,mean_pnl,median_pnl,max_pnl,mean_wr_pct,median_wr_pct,mean_trades,median_trades,pf_ge_1_18,both_sides_pf_gt_1,main_acceptance,mean_gap,mean_dd_pct
base_control,7,1.191267284968401,1.192326790084704,1.2179238407692008,4104.385367996995,4088.0166949111863,4474.087868311397,57.0443049531245,57.14285714285714,208.28571428571428,199.0,5,7,4,0.08134303798468065,-23.13737001557625
broad_1h_width_main,168,1.1565000370478566,1.0941557016474346,2.208621669777759,1364.1478891790641,660.107687332262,6816.125646186411,56.61722994452671,56.26453488372093,137.46428571428572,90.5,65,60,6,0.5626894889466387,-18.833389954088858
transition_tail_1h_width,12,1.3092676523817288,1.3214514636951917,1.5227491926291474,4298.939942574408,4123.151961171155,8439.309620732201,58.989082115394446,58.93526295387001,126.33333333333333,119.0,8,9,1,0.49661032211011663,-19.366540714984026
