group,rail,candidates,mean_pf,median_pf,max_pf,mean_pnl,median_pnl,max_pnl,mean_wr_pct,median_wr_pct,mean_trades,median_trades,pf_ge_1_18,both_sides_pf_gt_1,main_acceptance,mean_gap,mean_dd_pct
base_control,2.15,2,1.2102071151536646,1.2102071151536646,1.2179238407692008,3950.023501019372,3950.023501019372,4088.0166949111863,57.68401015228426,57.68401015228426,198.5,198.5,2,2,2,0.02438661749298998,-20.345572944209522
base_control,2.35,2,1.1977131616715597,1.1977131616715597,1.205158874575288,4160.140940918857,4160.140940918857,4311.636866549699,56.963388370423544,56.963388370423544,197.5,197.5,2,2,1,0.018197886444099698,-24.28406853411658
base_control,2.45,3,1.1743434803761197,1.1776587626783621,1.192326790084704,4170.122897367502,4173.782778360487,4474.087868311397,56.67177920881864,56.78391959798995,222.0,199.0,1,3,1,0.16141075267286173,-24.23410238412718
broad_1h_width_main,2.15,84,1.0932897785136024,1.047194901758573,1.7640416727613575,919.5234728689157,339.2552310631661,5452.498858633169,55.77644310416682,55.48048048048048,137.86904761904762,91.0,26,25,3,0.4648199949388029,-19.224090129744468
broad_1h_width_main,2.35,84,1.2197102955821109,1.1501961229530488,2.208621669777759,1808.7723054892126,943.5489830496037,6816.125646186411,57.458016784886595,56.857366771159874,137.0595238095238,90.0,39,35,3,0.6605589829544746,-18.442689778433245
transition_tail_1h_width,2.45,12,1.3092676523817288,1.3214514636951917,1.5227491926291474,4298.939942574408,4123.151961171155,8439.309620732201,58.989082115394446,58.93526295387001,126.33333333333333,119.0,8,9,1,0.49661032211011663,-19.366540714984026
