candidate_id,setup_label,group,width_atr_timeframe,rail,current_width,recent_width,recent_delta,width_lookback,trades,pnl,profit_factor,win_rate_pct,sharpe,max_drawdown_pct,long_trades,long_pnl,long_profit_factor,long_win_rate_pct,short_trades,short_pnl,short_profit_factor,short_win_rate_pct,pf_symmetry_gap,min_side_pf,both_sides_pf_gt_1,main_acceptance,fees_paid,stop_loss_after_bad_context,stop_loss_after_low_mfe,high_mfe_high_capture_count,high_mfe_low_capture_count,bounce_score
phase2d_transition_tail_1h_transition_245_w2p25_r2p75_lb35_sym_1hatr_sl2p45_tp2p45_fee04,1h 2.45 w2.25/r2.75/lb35,transition_tail_1h_width,1h,2.45,2.25,2.75,0.5,35,162,7891.243646927651,1.4131252435130677,60.49382716049383,0.78177976583667,-17.710169387404928,110,4934.610978278859,1.3853535417969849,60.909090909090914,52,2956.632668648793,1.4696107040329736,59.61538461538461,0.08425716223598867,1.3853535417969849,True,True,1810.2871947593005,64,25,56,7,66.07163985770546
phase2d_broad_1h_semantic_upper_235_w2p25_r2p75_lb35_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2.25/r2.75/lb35,broad_1h_width_main,1h,2.35,2.25,2.75,0.5,35,162,6331.327125221177,1.3446903336295521,59.25925925925925,0.7000902409460141,-17.27344757692826,110,3544.547132470574,1.2830218270708318,59.09090909090909,52,2786.7799927506035,1.4768434437402045,59.61538461538461,0.1938216166693727,1.2830218270708318,True,True,1754.6011980960361,66,25,53,7,64.32217119940294
phase2d_broad_1h_semantic_upper_235_w2p5_r2p75_lb35_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2.5/r2.75/lb35,broad_1h_width_main,1h,2.35,2.5,2.75,0.25,35,141,6231.4810817342495,1.444209354566079,60.28368794326241,0.7353279752960665,-21.424348678967597,97,2835.3315076874724,1.2725202509597076,59.79381443298969,44,3396.149574046777,1.937091260745019,61.36363636363637,0.6645710097853115,1.2725202509597076,True,False,1428.719197210394,56,23,47,6,63.6548611769237
phase2d_base_control_base_sharp_core_w11_r12_lb10_sl2p15_tp2p15_fee04,base 2.15 w11/r12/lb10,base_control,base,2.15,11.0,12.0,1.0,10,197,4088.0166949111863,1.2179238407692008,57.868020304568525,0.5013723873014091,-20.34381371580478,110,2099.7414969540755,1.2139675510904966,60.0,87,1988.2751979571105,1.2222639283045622,55.172413793103445,0.00829637721406562,1.2139675510904966,True,True,1908.6627918662386,83,45,45,5,62.425949502497836
phase2d_broad_1h_semantic_upper_235_w2_r2p75_lb20_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2/r2.75/lb20,broad_1h_width_main,1h,2.35,2.0,2.75,0.75,20,149,6816.125646186411,1.4347975311390617,59.73154362416108,0.7698227214345804,-17.273447576927992,103,3268.522297871987,1.2827216671050181,59.22330097087378,46,3547.6033483144242,1.861982658718453,60.86956521739131,0.5792609916134348,1.2827216671050181,True,False,1587.246705721172,60,25,48,6,61.36858345923738
phase2d_broad_1h_semantic_upper_235_w2p25_r2p75_lb20_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2.25/r2.75/lb20,broad_1h_width_main,1h,2.35,2.25,2.75,0.5,20,149,6816.125646186411,1.4347975311390617,59.73154362416108,0.7698227214345804,-17.273447576927992,103,3268.522297871987,1.2827216671050181,59.22330097087378,46,3547.6033483144242,1.861982658718453,60.86956521739131,0.5792609916134348,1.2827216671050181,True,False,1587.246705721172,60,25,48,6,61.36858345923738
phase2d_transition_tail_1h_transition_245_w2p25_r2p75_lb20_sym_1hatr_sl2p45_tp2p45_fee04,1h 2.45 w2.25/r2.75/lb20,transition_tail_1h_width,1h,2.45,2.25,2.75,0.5,20,149,8439.309620732201,1.5227491926291474,61.07382550335571,0.8517492491575371,-17.710169387405127,103,4647.570457985792,1.3955370526151978,61.165048543689316,46,3791.7391627464094,1.8629231133120474,60.86956521739131,0.4673860606968496,1.3955370526151978,True,False,1634.6474851676155,58,25,51,6,60.127272727272725
phase2d_broad_1h_semantic_upper_235_w2_r2p75_lb35_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2/r2.75/lb35,broad_1h_width_main,1h,2.35,2.0,2.75,0.75,35,166,5332.374205187354,1.2794973496478854,58.43373493975904,0.6122622774309737,-17.27344757692826,112,2960.4275591936635,1.2318170748394566,58.03571428571429,54,2371.946645993691,1.3760273432144623,59.25925925925925,0.14421026837500572,1.2318170748394566,True,True,1753.0178724365405,69,25,54,7,58.84852401713595
phase2d_broad_1h_semantic_upper_235_w2p5_r2p75_lb50_sym_1hatr_sl2p35_tp2p35_fee04,1h 2.35 w2.5/r2.75/lb50,broad_1h_width_main,1h,2.35,2.5,2.75,0.25,50,144,6315.487401761277,1.4260529106958653,59.72222222222222,0.7278095390515039,-21.424348678967597,99,2292.9292151838736,1.2059674564552598,58.58585858585859,45,4022.558186577404,2.089898610659517,62.22222222222222,0.8839311542042572,1.2059674564552598,True,False,1484.0710659455863,58,24,48,6,58.547276927616245
phase2d_base_control_base_main_stability_w11_r12_lb20_sl2p15_tp2p15_fee04,base 2.15 w11/r12/lb20,base_control,base,2.15,11.0,12.0,1.0,20,200,3812.0303071275575,1.2024903895381285,57.49999999999999,0.4755075288392745,-20.347332172614262,113,1838.5790631162497,1.1835503683033415,59.29203539823009,87,1973.451244011308,1.2240272260752558,55.172413793103445,0.04047685777191434,1.1835503683033415,True,True,1912.1041216119995,85,46,45,5,57.47001239090606
