rail,current_width,recent_width,candidates,mean_pf,median_pf,max_pf,mean_pnl,median_pnl,max_pnl,mean_wr_pct,median_wr_pct,mean_trades,median_trades,pf_ge_1_18,both_sides_pf_gt_1,main_acceptance,mean_gap,mean_dd_pct
2.15,1.75,2.0,4,0.9900709698430072,0.9951062129167185,0.9992361773334623,-428.3255915079473,-224.02236325554898,-37.08332149893591,53.24195245310987,53.31210191082803,454.5,456.5,0,0,0,0.03364202862511148,-30.630387186405233
2.15,1.75,2.25,4,0.97386237332184,0.9739333300434796,0.981133662548778,-973.2473505604469,-972.868538167675,-631.5666423512944,53.10338125729477,53.157531290461804,335.25,340.5,0,0,0,0.03909205073138361,-40.390931857651026
2.15,1.75,2.5,4,1.0487122907208994,1.0407049078667743,1.1221024186595994,1254.6389810070468,1205.521149562022,2861.3211711580566,55.07478089845143,54.729729729729726,232.5,233.0,0,1,0,0.14764092307749785,-27.359105093091483
2.15,2.0,2.25,4,0.9790508253630753,0.9762769575361023,0.9937567519766112,-773.1566393517578,-872.7559636099368,-207.97314618215952,53.173064456950144,53.115441311958726,324.5,329.5,0,0,0,0.06267579160213566,-38.74222847354717
2.15,2.0,2.5,4,1.0364712492647006,1.0247860868679664,1.1221024186595994,869.6753958867847,671.5223986990305,2861.3211711580566,54.89210644206198,54.4605152027027,231.5,232.5,0,1,0,0.1071292545412795,-27.82174333359395
2.15,2.0,2.75,4,1.2544725827906822,1.2595258467330628,1.3821196973641816,3832.1491440006635,3768.581970128746,5452.498858633169,57.61290199427887,57.75014855784614,156.5,158.5,3,4,1,0.3759109802656652,-19.68764048189338
2.15,2.25,2.5,4,1.0892872690364883,1.0780738465640756,1.144424657395757,2224.6441181391506,2038.1804486807212,3396.48488465504,56.465291286280305,56.09408033826638,215.75,217.5,0,3,0,0.10355564771307924,-20.212863543054063
2.15,2.25,2.75,4,1.2912015601459728,1.2883185509515358,1.3821196973641816,4396.201037849469,4223.84424451144,5452.498858633169,58.25681470050123,58.14873788226478,153.25,156.5,4,4,2,0.39495458013991536,-17.83539565710864
2.15,2.25,3.0,4,1.2964676314748065,1.3239487913379677,1.3918164623770695,2746.711419640766,3064.4204746787664,3829.4289108568514,57.6680019355403,58.106274141350866,96.75,98.0,3,4,0,0.7853907628059613,-16.25543296037265
2.15,2.5,2.75,4,1.346814951575599,1.3559039918380744,1.386232465732207,4435.2430728173,4661.632115114976,5035.860976817936,59.26224101071949,59.29802955665025,138.75,141.0,4,4,0,0.7371145617159305,-17.068734270168164
2.15,2.5,3.0,4,1.2533214187120088,1.2907425012142613,1.3547027427985963,2186.632449768497,2546.015410770594,3133.6022105543534,57.40521398432791,58.07142857142857,93.75,95.5,3,3,0,0.815255965914276,-16.420897980316646
2.15,2.5,3.25,4,0.999525795328245,1.0258016725626606,1.076198186135965,55.58859018544817,170.79092055779086,514.3289005375383,55.63217608563352,55.3639846743295,67.75,67.0,0,0,0,0.33086886926724024,-14.88537798851666
2.15,2.75,3.0,4,1.1432815180211398,1.14619341700875,1.241893300345138,1084.4586452508443,1116.0657238172325,1847.762489825768,55.75185854124971,55.92895476616407,86.0,87.5,1,1,0,0.8186065189800696,-17.184890800446563
2.15,2.75,3.25,4,0.984849590316667,1.0092956317229533,1.050505447769067,-47.991188711960504,66.5571421926049,308.47734167827554,55.620541485391314,55.44334975369458,66.0,66.0,0,0,0,0.2014296879296473,-14.811739333951518
2.15,2.75,3.5,4,0.8565500876953808,0.8587696094884598,1.0142134861025334,-541.8441386033645,-553.9706875090358,63.52852241847733,52.50858175248419,52.46160794941283,47.5,47.5,0,0,0,0.1518140337152262,-16.179704474602204
2.15,3.0,3.25,4,0.8513226949115575,0.8432470512113359,0.8984970401301509,-712.5270256649811,-754.61574976377,-465.6802914808126,52.860886076303345,52.58697591436218,57.25,57.5,0,0,0,0.09000446506902907,-15.606922198918625
2.15,3.0,3.5,4,0.7751789021085915,0.7812148754968916,0.8035623582098702,-817.4651199757377,-817.4038741812424,-737.877859219765,51.15494571951771,51.13695090439276,43.5,44.0,0,0,0,0.08741532284153714,-15.997878195408003
2.15,3.0,3.75,4,1.2585493213709877,1.2737918222464009,1.4917736874267633,300.4317267472552,358.91575289087865,494.14905964371536,59.22619047619048,59.72222222222223,22.5,22.5,2,0,0,0.8333180810126226,-7.010406120555423
2.15,3.25,3.5,4,0.8583163153190657,0.8566221218049168,0.8633988958615123,-425.59743348055207,-434.92754293450656,-397.60710511868854,52.66812865497076,52.63157894736842,37.5,38.0,0,0,0,0.2987817552555685,-15.947178586518984
2.15,3.25,3.75,4,1.2988662024721211,1.295042422807449,1.4917736874267633,360.9018100535581,377.9084033835659,494.14905964371536,59.63383838383839,59.54545454545455,21.0,21.0,3,0,0,0.8921812264323057,-6.934864015464374
2.15,3.25,4.0,4,1.372911798992811,1.3728726970407972,1.7640416727613575,282.871026757195,298.0833611501469,547.8016229127863,60.092407592407596,60.769230769230774,13.25,13.5,3,0,0,2.454437386079379,-6.721570173049035
2.35,1.75,2.0,4,0.9985593274144604,0.9993439871709406,1.0147584768738698,-38.8955602563464,-30.683721698050732,785.587348245688,53.47373880342826,53.47573306370071,449.75,451.5,0,0,0,0.10083118818849457,-31.420698853349194
2.35,1.75,2.25,4,1.0120835727623265,1.0127004609667432,1.0257725000314712,492.37735911898557,561.1690615423583,972.3359482281439,54.25642940849943,54.35881983020648,333.25,338.5,0,0,0,0.06401437769225196,-35.90371332242842
2.35,1.75,2.5,4,1.100481020010443,1.092329458143241,1.180981893927124,2989.940021670753,3025.526709462775,4724.371323594561,56.49899273740283,56.21996562489038,231.5,232.0,1,3,0,0.16517940317343816,-25.30343958046639
2.35,2.0,2.25,4,1.018944733137678,1.016746000400226,1.0403179586758053,740.6089011700084,681.982740080015,1514.509227810194,54.36094560770096,54.35621957361088,322.5,327.5,0,0,0,0.1294013903338806,-33.98527586288516
2.35,2.0,2.5,4,1.087900723046496,1.0758003920975963,1.180981893927124,2503.5732535602006,2347.8135453898135,4724.371323594561,56.32112985054162,55.957767722473605,230.5,231.5,1,2,0,0.14319881264562626,-25.852000171115545
