candidate_id,rail,current_width,recent_width,lookback,trades,pnl,return_pct,pf,win_rate_pct,sharpe,max_dd_pct,fees,long_trades,long_pnl,long_pf,long_win_rate_pct,short_trades,short_pnl,short_pf,short_win_rate_pct,bad_context_stops,low_mfe_stops,high_mfe_high_capture,high_mfe_low_capture
phase2a_semantic_primary_215_w9_r8_lb10_sym_1hatr_sl2p15_tp2p15_fee04,2.15,9,8,10,362,3313.196715658281,33.13196715658281,1.092765530754777,56.353591160220994,0.3515086058113989,-20.630546576211938,3188.9189006593356,202,2650.6345072284053,1.1526943733007413,58.91089108910891,160,662.5622084298755,1.0360936896124644,53.125,158,68,89,14
phase2a_semantic_primary_215_w9_r8_lb20_sym_1hatr_sl2p15_tp2p15_fee04,2.15,9,8,20,362,3313.196715658281,33.13196715658281,1.092765530754777,56.353591160220994,0.3515086058113989,-20.630546576211938,3188.9189006593356,202,2650.6345072284053,1.1526943733007413,58.91089108910891,160,662.5622084298755,1.0360936896124644,53.125,158,68,89,14
phase2a_semantic_primary_215_w9_r8_lb35_sym_1hatr_sl2p15_tp2p15_fee04,2.15,9,8,35,362,3313.196715658281,33.13196715658281,1.092765530754777,56.353591160220994,0.3515086058113989,-20.630546576211938,3188.9189006593356,202,2650.6345072284053,1.1526943733007413,58.91089108910891,160,662.5622084298755,1.0360936896124644,53.125,158,68,89,14
phase2a_semantic_primary_215_w9_r10_lb10_sym_1hatr_sl2p15_tp2p15_fee04,2.15,9,10,10,350,3862.860732195996,38.62860732195996,1.116566452265786,56.285714285714285,0.3914452294565561,-19.966320545930337,3007.4215162990045,198,2190.007788795682,1.1304682119483187,58.58585858585859,152,1672.8529434003144,1.1022967533076329,53.289473684210535,153,65,87,14
phase2a_semantic_primary_215_w9_r10_lb20_sym_1hatr_sl2p15_tp2p15_fee04,2.15,9,10,20,352,3696.8316641262113,36.96831664126211,1.1080027807298314,56.25,0.37924781230629884,-19.966320545930337,3068.7880038257904,198,2478.7784230867906,1.1456703919137199,58.58585858585859,154,1218.0532410394208,1.0707648344762613,53.246753246753244,154,65,88,14
phase2a_semantic_primary_215_w9_r10_lb35_sym_1hatr_sl2p15_tp2p15_fee04,2.15,9,10,35,354,3526.880897479594,35.26880897479594,1.1035128572031552,56.21468926553672,0.36765613491323723,-19.966320545930337,3053.908792331673,199,2298.6558770927086,1.1350151147697294,58.291457286432156,155,1228.2250203868855,1.072050447104096,53.5483870967742,155,66,88,14
phase2a_semantic_primary_215_w9_r12_lb10_sym_1hatr_sl2p15_tp2p15_fee04,2.15,9,12,10,285,2307.3690345378427,23.073690345378427,1.0894139139619372,56.14035087719298,0.29591411753759,-24.976249920147843,2366.047460817286,169,1192.156802710005,1.081624116724199,57.98816568047337,116,1115.2122318278375,1.0995722307645617,53.44827586206896,125,55,67,13
phase2a_semantic_primary_215_w9_r12_lb20_sym_1hatr_sl2p15_tp2p15_fee04,2.15,9,12,20,301,4427.246940746892,44.27246940746892,1.1496134180815387,56.47840531561462,0.45067104029978117,-18.48343704208527,2778.6571446179337,178,1787.2490641537795,1.1071917872040866,57.865168539325836,123,2639.9978765931123,1.2043679616201852,54.47154471544715,131,57,76,13
phase2a_semantic_primary_215_w9_r12_lb35_sym_1hatr_sl2p15_tp2p15_fee04,2.15,9,12,35,320,3768.5687699594614,37.68568769959462,1.1241807209673593,56.56250000000001,0.3982497586508541,-18.48343704208527,2833.6456263815403,186,2369.7891974586223,1.1449561922541962,58.602150537634415,134,1398.779572500839,1.0999189540826118,53.73134328358209,139,61,78,14
phase2a_semantic_primary_215_w9_r14_lb10_sym_1hatr_sl2p15_tp2p15_fee04,2.15,9,14,10,211,-309.18094346863336,-3.0918094346863336,0.9816994666458462,53.08056872037915,0.021596118801787096,-23.395456908663792,1559.2385706134671,124,432.7361478060933,1.0456840200312572,55.64516129032258,87,-741.9170912747267,0.9000417080742754,49.42528735632184,99,51,42,9
phase2a_semantic_primary_215_w9_r14_lb20_sym_1hatr_sl2p15_tp2p15_fee04,2.15,9,14,20,237,-346.0766565907535,-3.4607665659075346,0.9822371427944653,53.58649789029536,0.026234114505917904,-23.439327930762587,1750.71308752626,142,52.76670141861173,1.0045848056938762,54.929577464788736,95,-398.84335800936526,0.9499828130394184,51.578947368421055,110,53,51,11
phase2a_semantic_primary_215_w9_r14_lb35_sym_1hatr_sl2p15_tp2p15_fee04,2.15,9,14,35,258,-82.55914824171265,-0.8255914824171265,0.9960242631242563,54.263565891472865,0.06093093076276037,-22.52824316396148,1897.338808288922,156,839.0064526192108,1.0691297992945237,56.41025641025641,102,-921.5656008609235,0.8932021442763775,50.98039215686274,118,55,54,11
phase2a_semantic_primary_215_w11_r8_lb10_sym_1hatr_sl2p15_tp2p15_fee04,2.15,11,8,10,204,3567.6542934604167,35.676542934604164,1.1897076702501066,56.86274509803921,0.4485609239641451,-20.926434911146462,1894.2460596707347,114,1513.6780949467386,1.1510864526731839,58.77192982456141,90,2053.9761985136784,1.2337399914085685,54.44444444444444,88,48,46,5
phase2a_semantic_primary_215_w11_r8_lb20_sym_1hatr_sl2p15_tp2p15_fee04,2.15,11,8,20,204,3567.6542934604167,35.676542934604164,1.1897076702501066,56.86274509803921,0.4485609239641451,-20.926434911146462,1894.2460596707347,114,1513.6780949467386,1.1510864526731839,58.77192982456141,90,2053.9761985136784,1.2337399914085685,54.44444444444444,88,48,46,5
phase2a_semantic_primary_215_w11_r8_lb35_sym_1hatr_sl2p15_tp2p15_fee04,2.15,11,8,35,204,3567.6542934604167,35.676542934604164,1.1897076702501066,56.86274509803921,0.4485609239641451,-20.926434911146462,1894.2460596707347,114,1513.6780949467386,1.1510864526731839,58.77192982456141,90,2053.9761985136784,1.2337399914085685,54.44444444444444,88,48,46,5
phase2a_semantic_primary_215_w11_r10_lb10_sym_1hatr_sl2p15_tp2p15_fee04,2.15,11,10,10,204,3567.6542934604167,35.676542934604164,1.1897076702501066,56.86274509803921,0.4485609239641451,-20.926434911146462,1894.2460596707347,114,1513.6780949467386,1.1510864526731839,58.77192982456141,90,2053.9761985136784,1.2337399914085685,54.44444444444444,88,48,46,5
phase2a_semantic_primary_215_w11_r10_lb20_sym_1hatr_sl2p15_tp2p15_fee04,2.15,11,10,20,204,3567.6542934604167,35.676542934604164,1.1897076702501066,56.86274509803921,0.4485609239641451,-20.926434911146462,1894.2460596707347,114,1513.6780949467386,1.1510864526731839,58.77192982456141,90,2053.9761985136784,1.2337399914085685,54.44444444444444,88,48,46,5
phase2a_semantic_primary_215_w11_r10_lb35_sym_1hatr_sl2p15_tp2p15_fee04,2.15,11,10,35,204,3567.6542934604167,35.676542934604164,1.1897076702501066,56.86274509803921,0.4485609239641451,-20.926434911146462,1894.2460596707347,114,1513.6780949467386,1.1510864526731839,58.77192982456141,90,2053.9761985136784,1.2337399914085685,54.44444444444444,88,48,46,5
phase2a_semantic_primary_215_w11_r12_lb10_sym_1hatr_sl2p15_tp2p15_fee04,2.15,11,12,10,197,4088.0166949111863,40.88016694911186,1.2179238407692008,57.868020304568525,0.5013723873014091,-20.34381371580478,1908.6627918662386,110,2099.7414969540755,1.2139675510904966,60.0,87,1988.2751979571105,1.2222639283045622,55.172413793103445,83,45,45,5
phase2a_semantic_primary_215_w11_r12_lb20_sym_1hatr_sl2p15_tp2p15_fee04,2.15,11,12,20,200,3812.0303071275575,38.12030307127557,1.2024903895381285,57.49999999999999,0.4755075288392745,-20.347332172614262,1912.1041216119995,113,1838.5790631162497,1.1835503683033415,59.29203539823009,87,1973.451244011308,1.2240272260752558,55.172413793103445,85,46,45,5
phase2a_semantic_primary_215_w11_r12_lb35_sym_1hatr_sl2p15_tp2p15_fee04,2.15,11,12,35,203,3190.5307400602005,31.905307400602005,1.1700465015798922,56.65024630541872,0.415693712053107,-20.926434911146462,1879.1709713159332,114,1529.86918962784,1.1531834415043696,58.77192982456141,89,1660.6615504323606,1.1892378621842514,53.93258426966292,88,48,45,5
phase2a_semantic_primary_215_w11_r14_lb10_sym_1hatr_sl2p15_tp2p15_fee04,2.15,11,14,10,168,1254.954268191191,12.54954268191191,1.0864402594562708,54.761904761904766,0.22865591665727023,-21.16411671255688,1430.3480007883907,95,926.4875125941254,1.1176470703912003,56.84210526315789,73,328.46675559706557,1.0494453544410667,52.054794520547944,76,45,35,4
phase2a_semantic_primary_215_w11_r14_lb20_sym_1hatr_sl2p15_tp2p15_fee04,2.15,11,14,20,176,2833.1637499601275,28.331637499601275,1.1756344734854585,56.81818181818182,0.40444980573813305,-20.225822264167693,1646.3608746307723,101,2049.6925877274252,1.2321719375834306,59.4059405940594,75,783.4711622327021,1.1072853704871561,53.333333333333336,76,44,39,4
phase2a_semantic_primary_215_w11_r14_lb35_sym_1hatr_sl2p15_tp2p15_fee04,2.15,11,14,35,184,2832.2599346417032,28.322599346417032,1.172176940184937,56.52173913043478,0.4031349901346876,-20.809306472462186,1702.0410995168,107,2197.0385548696954,1.242165833444376,59.813084112149525,77,635.2213797720082,1.0861054354823405,51.94805194805194,80,46,39,4
