rail,w,r,lb,trades,pnl,pf,win,dd,long_pf,short_pf,long_pnl,short_pnl,bad_context,low_mfe
2.15,9,8,10,362,3313.196715658281,1.092765530754777,0.56353591160221,-0.2063054657621194,1.1526943733007413,1.0360936896124644,2650.6345072284053,662.5622084298755,158,68
2.15,9,8,20,362,3313.196715658281,1.092765530754777,0.56353591160221,-0.2063054657621194,1.1526943733007413,1.0360936896124644,2650.6345072284053,662.5622084298755,158,68
2.15,9,8,35,362,3313.196715658281,1.092765530754777,0.56353591160221,-0.2063054657621194,1.1526943733007413,1.0360936896124644,2650.6345072284053,662.5622084298755,158,68
2.15,9,10,10,350,3862.860732195996,1.116566452265786,0.5628571428571428,-0.19966320545930338,1.1304682119483187,1.1022967533076329,2190.007788795682,1672.8529434003144,153,65
2.15,9,10,20,352,3696.8316641262113,1.1080027807298314,0.5625,-0.19966320545930338,1.1456703919137199,1.0707648344762613,2478.7784230867906,1218.0532410394208,154,65
2.15,9,10,35,354,3526.880897479594,1.1035128572031552,0.5621468926553672,-0.19966320545930338,1.1350151147697294,1.072050447104096,2298.6558770927086,1228.2250203868855,155,66
2.15,9,12,10,285,2307.3690345378427,1.0894139139619372,0.5614035087719298,-0.24976249920147842,1.081624116724199,1.0995722307645617,1192.156802710005,1115.2122318278375,125,55
2.15,9,12,20,301,4427.246940746892,1.1496134180815387,0.5647840531561462,-0.1848343704208527,1.1071917872040866,1.2043679616201852,1787.2490641537795,2639.9978765931123,131,57
2.15,9,12,35,320,3768.5687699594614,1.1241807209673593,0.565625,-0.1848343704208527,1.1449561922541962,1.0999189540826118,2369.7891974586223,1398.779572500839,139,61
2.15,9,14,10,211,-309.18094346863336,0.9816994666458462,0.5308056872037915,-0.23395456908663792,1.0456840200312572,0.9000417080742754,432.7361478060933,-741.9170912747267,99,51
2.15,9,14,20,237,-346.0766565907535,0.9822371427944653,0.5358649789029536,-0.23439327930762588,1.0045848056938762,0.9499828130394184,52.76670141861173,-398.84335800936526,110,53
2.15,9,14,35,258,-82.55914824171265,0.9960242631242563,0.5426356589147286,-0.2252824316396148,1.0691297992945237,0.8932021442763775,839.0064526192108,-921.5656008609235,118,55
2.15,11,8,10,204,3567.6542934604167,1.1897076702501066,0.5686274509803921,-0.20926434911146463,1.1510864526731839,1.2337399914085685,1513.6780949467386,2053.9761985136784,88,48
2.15,11,8,20,204,3567.6542934604167,1.1897076702501066,0.5686274509803921,-0.20926434911146463,1.1510864526731839,1.2337399914085685,1513.6780949467386,2053.9761985136784,88,48
2.15,11,8,35,204,3567.6542934604167,1.1897076702501066,0.5686274509803921,-0.20926434911146463,1.1510864526731839,1.2337399914085685,1513.6780949467386,2053.9761985136784,88,48
2.15,11,10,10,204,3567.6542934604167,1.1897076702501066,0.5686274509803921,-0.20926434911146463,1.1510864526731839,1.2337399914085685,1513.6780949467386,2053.9761985136784,88,48
2.15,11,10,20,204,3567.6542934604167,1.1897076702501066,0.5686274509803921,-0.20926434911146463,1.1510864526731839,1.2337399914085685,1513.6780949467386,2053.9761985136784,88,48
2.15,11,10,35,204,3567.6542934604167,1.1897076702501066,0.5686274509803921,-0.20926434911146463,1.1510864526731839,1.2337399914085685,1513.6780949467386,2053.9761985136784,88,48
2.15,11,12,10,197,4088.0166949111863,1.2179238407692008,0.5786802030456852,-0.20343813715804782,1.2139675510904966,1.2222639283045622,2099.7414969540755,1988.2751979571105,83,45
2.15,11,12,20,200,3812.0303071275575,1.2024903895381285,0.575,-0.20347332172614263,1.1835503683033415,1.2240272260752558,1838.5790631162497,1973.451244011308,85,46
2.15,11,12,35,203,3190.5307400602005,1.1700465015798922,0.5665024630541872,-0.20926434911146463,1.1531834415043696,1.1892378621842514,1529.86918962784,1660.6615504323606,88,48
2.15,11,14,10,168,1254.954268191191,1.0864402594562708,0.5476190476190477,-0.2116411671255688,1.1176470703912003,1.0494453544410667,926.4875125941254,328.46675559706557,76,45
2.15,11,14,20,176,2833.1637499601275,1.1756344734854585,0.5681818181818182,-0.20225822264167692,1.2321719375834306,1.1072853704871561,2049.6925877274252,783.4711622327021,76,44
2.15,11,14,35,184,2832.2599346417032,1.172176940184937,0.5652173913043478,-0.20809306472462186,1.242165833444376,1.0861054354823405,2197.0385548696954,635.2213797720082,80,46
2.35,9,8,10,360,3462.523198316544,1.0869065047474422,0.5583333333333333,-0.2222069893775549,1.1130750867969468,1.0613955548013216,2223.9007256382415,1238.6224726783025,159,64
2.35,9,8,20,360,3462.523198316544,1.0869065047474422,0.5583333333333333,-0.2222069893775549,1.1130750867969468,1.0613955548013216,2223.9007256382415,1238.6224726783025,159,64
2.35,9,8,35,360,3462.523198316544,1.0869065047474422,0.5583333333333333,-0.2222069893775549,1.1130750867969468,1.0613955548013216,2223.9007256382415,1238.6224726783025,159,64
2.35,9,10,10,348,4061.551249746445,1.1101302647147187,0.5574712643678161,-0.21937931634377095,1.0896982046147878,1.1317948435365828,1702.440071367788,2359.111178378657,154,61
2.35,9,10,20,350,3878.0095235021276,1.101670821652316,0.5571428571428572,-0.21937931634376906,1.105136083781326,1.0981360375010747,2025.0060340587809,1853.0034894433468,155,61
2.35,9,10,35,352,3692.0185806337645,1.097327393625211,0.5568181818181818,-0.2193793163437634,1.095403897494127,1.099309208313499,1836.548238862278,1855.4703417714866,156,62
2.35,9,12,10,283,1988.5959388304882,1.069074359653854,0.5512367491166078,-0.25686609479822387,1.0427976755339592,1.104104310995801,704.0150025638721,1284.5809362666162,127,53
2.35,9,12,20,299,4274.044409972947,1.1280592927828055,0.5551839464882943,-0.19714788508318704,1.0655707339000957,1.21050478568671,1244.8999834259248,3029.1444265470222,133,55
2.35,9,12,35,318,3938.1608588339964,1.1162818648339043,0.559748427672956,-0.19714788508318704,1.1031253970111132,1.1322022089945116,1912.2856261173574,2025.8752327166392,140,58
2.35,9,14,10,209,-460.76125027385314,0.9750868546298492,0.5311004784688995,-0.25874184871999906,1.0458780909243204,0.8851156221814642,474.86671169160593,-935.627961965459,98,46
2.35,9,14,20,235,-601.3686701138923,0.9717731952062418,0.5319148936170213,-0.2633727471633406,0.9971890613652882,0.9350913115780725,-35.375795048049426,-565.9928750658429,110,49
2.35,9,14,35,256,-423.9418288777569,0.9812744021782099,0.53515625,-0.25706461343913345,1.053338293167386,0.8794427145255761,707.1378647816501,-1131.079693659407,119,52
2.35,11,8,10,203,3934.3138007704406,1.1871471309203296,0.5665024630541872,-0.2502150440364821,1.160238276367567,1.217452691256743,1784.30439381677,2150.009406953671,88,45
2.35,11,8,20,203,3934.3138007704406,1.1871471309203296,0.5665024630541872,-0.2502150440364821,1.160238276367567,1.217452691256743,1784.30439381677,2150.009406953671,88,45
2.35,11,8,35,203,3934.3138007704406,1.1871471309203296,0.5665024630541872,-0.2502150440364821,1.160238276367567,1.217452691256743,1784.30439381677,2150.009406953671,88,45
2.35,11,10,10,203,3934.3138007704406,1.1871471309203296,0.5665024630541872,-0.2502150440364821,1.160238276367567,1.217452691256743,1784.30439381677,2150.009406953671,88,45
2.35,11,10,20,203,3934.3138007704406,1.1871471309203296,0.5665024630541872,-0.2502150440364821,1.160238276367567,1.217452691256743,1784.30439381677,2150.009406953671,88,45
2.35,11,10,35,203,3934.3138007704406,1.1871471309203296,0.5665024630541872,-0.2502150440364821,1.160238276367567,1.217452691256743,1784.30439381677,2150.009406953671,88,45
2.35,11,12,10,196,4311.636866549699,1.205158874575288,0.5714285714285714,-0.23614836144166773,1.2219948615521226,1.1870815660742675,2415.670614804114,1895.9662517455854,84,43
2.35,11,12,20,199,4008.6450152880157,1.1902674487678315,0.5678391959798995,-0.2495330092406639,1.1909685907471361,1.1894861133367918,2120.5302961055927,1888.114719182423,86,44
2.35,11,12,35,202,3510.9644232527185,1.1674329668816792,0.5643564356435643,-0.2502150440364821,1.1625720555479606,1.1728965552863793,1804.0156877099387,1706.94873554278,88,45
2.35,11,14,10,167,1523.2892357561816,1.094565844880428,0.5508982035928144,-0.24447058567598778,1.1444096184321146,1.0367350005504288,1249.3680065261697,273.92122923001193,75,41
2.35,11,14,20,175,3145.8518555727,1.174066009570558,0.5657142857142857,-0.2209534808899306,1.2417565592461701,1.0933068562618424,2376.9222923628863,768.9295632098139,76,41
2.35,11,14,35,183,3337.607497403405,1.1810710893250622,0.5683060109289617,-0.23529998426538457,1.253779026105387,1.0918710402646088,2577.1440696866,760.463427716805,79,42
2.45,9,8,10,360,4483.573444358731,1.1067653133018673,0.5638888888888889,-0.22163255564610918,1.1701061498865521,1.0475347953851075,3451.999063463209,1031.5743808955217,157,62
2.45,9,8,20,360,4483.573444358731,1.1067653133018673,0.5638888888888889,-0.22163255564610918,1.1701061498865521,1.0475347953851075,3451.999063463209,1031.5743808955217,157,62
2.45,9,8,35,360,4483.573444358731,1.1067653133018673,0.5638888888888889,-0.22163255564610918,1.1701061498865521,1.0475347953851075,3451.999063463209,1031.5743808955217,157,62
2.45,9,10,10,348,5151.638616053605,1.1329583461482553,0.5632183908045977,-0.22576012783154686,1.1448810254873647,1.1207790194109857,2836.68679401698,2314.9518220366244,152,59
2.45,9,10,20,350,4945.58891384468,1.1232517719645756,0.5628571428571428,-0.22576012783153232,1.1613152033306726,1.085922364610046,3204.949136728234,1740.6397771164463,153,59
2.45,9,10,35,352,4737.857335040859,1.118785595470276,0.5625,-0.22576012783151478,1.1510177658566583,1.0868567518895065,2997.493235839658,1740.3640992012006,154,60
2.45,9,12,10,283,2813.206006983193,1.0934018087834025,0.558303886925795,-0.26386091204447326,1.1052504811433155,1.0783810075423634,1772.1655116541988,1041.0404953289942,125,51
2.45,9,12,20,299,5374.525351378222,1.152983023616922,0.5618729096989966,-0.20360026423965838,1.1261953935223517,1.1866724428901743,2469.694920582068,2904.8304307961535,131,53
2.45,9,12,35,318,5004.865390500856,1.140646378065501,0.5660377358490566,-0.20360026423965838,1.1623311875081923,1.1154899115315209,3102.321035593035,1902.544354907821,138,56
2.45,9,14,10,209,-709.7658338940007,0.9624398424685884,0.5311004784688995,-0.26706074688549086,1.0591328119789265,0.8432613616036573,616.9057985364907,-1326.6716324304914,98,45
2.45,9,14,20,235,-482.13658597595247,0.9782251285212142,0.5361702127659574,-0.2710222129553812,1.0373659231223142,0.8970023257803107,478.75539977014256,-960.8919857460951,109,47
2.45,9,14,35,256,-288.62090613271596,0.9877337034071217,0.5390625,-0.26421834216924833,1.0923211792680236,0.846436763715054,1248.295542894103,-1536.9164490268188,118,50
2.45,11,8,10,203,3787.3408094067404,1.1747740088445884,0.5665024630541872,-0.2583494815114825,1.1756972106289194,1.1737628029798517,1990.2791125489543,1797.0616968577858,88,44
2.45,11,8,20,203,3787.3408094067404,1.1747740088445884,0.5665024630541872,-0.2583494815114825,1.1756972106289194,1.1737628029798517,1990.2791125489543,1797.0616968577858,88,44
2.45,11,8,35,203,3787.3408094067404,1.1747740088445884,0.5665024630541872,-0.2583494815114825,1.1756972106289194,1.1737628029798517,1990.2791125489543,1797.0616968577858,88,44
2.45,11,10,10,203,3787.3408094067404,1.1747740088445884,0.5665024630541872,-0.2583494815114825,1.1756972106289194,1.1737628029798517,1990.2791125489543,1797.0616968577858,88,44
2.45,11,10,20,203,3787.3408094067404,1.1747740088445884,0.5665024630541872,-0.2583494815114825,1.1756972106289194,1.1737628029798517,1990.2791125489543,1797.0616968577858,88,44
2.45,11,10,35,203,3787.3408094067404,1.1747740088445884,0.5665024630541872,-0.2583494815114825,1.1756972106289194,1.1737628029798517,1990.2791125489543,1797.0616968577858,88,44
2.45,11,12,10,196,4173.782778360487,1.192326790084704,0.5714285714285714,-0.24384791708223585,1.2378133220516943,1.1448079288818493,2636.84213764121,1536.9406407192769,84,42
2.45,11,12,20,199,3862.498045430622,1.1776587626783621,0.5678391959798995,-0.2576748461297904,1.2064482137559542,1.146450216373657,2334.6917793978805,1527.8062660327419,86,43
2.45,11,12,35,202,3350.7006728956303,1.15503371971565,0.5643564356435643,-0.2583494815114825,1.1782159809875297,1.1296962848373757,2011.4103671946662,1339.2903057009644,88,44
2.45,11,14,10,167,1300.0551652295549,1.078427186743782,0.5508982035928144,-0.2525052620125703,1.1635264261499203,0.9832083190401342,1431.4189514150992,-131.36378618554428,75,40
2.45,11,14,20,175,2965.953765247015,1.1589525553837223,0.5657142857142857,-0.22818300974203654,1.2597674610444487,1.0426323646919353,2596.6098001897913,369.3439650572235,76,40
2.45,11,14,35,183,3166.880284422546,1.166456961688953,0.5683060109289617,-0.24298499741706758,1.2713697886330588,1.041911475227914,2802.304832151988,364.57545227055766,79,41
