lookback,candidates,mean_pf,median_pf,pf_std,q25_pf,q75_pf,mean_winrate_pct,median_winrate_pct,winrate_std,q25_winrate_pct,q75_winrate_pct,mean_pnl,median_pnl,mean_trades,mean_maxdd_pct,both_sides_pf_gt_1,pf_ge_1_10,pf_ge_1_15
10,24,1.1164712114423352,1.1084477890082929,0.0726781694025489,1.0867899434246493,1.1871471309203296,55.86447198206229,56.30377668308702,1.2959288188159366,55.11521127356595,56.65024630541872,2883.131655221589,3567.6542934604167,246.625,-23.55376462904852,20,13,9
20,24,1.1318575493170044,1.1559677895003222,0.06901363849576214,1.1054916903894796,1.180030854738854,56.11501110083967,56.524916943521596,1.1049499340852893,56.09880156075808,56.68366462856153,3318.0299497968863,3787.3408094067404,253.5,-22.696050246998055,21,19,13
35,24,1.1278200136285543,1.1478400488905756,0.06366587345566048,1.101966491308669,1.1747740088445884,56.149159510066006,56.47869134739561,0.9293975671717519,56.15472764097644,56.65024630541872,3212.503527811721,3547.2675954700053,260.125,-22.779000990822592,21,18,12
