profile,rail,trades,pnl,pf,dd,long_pf,short_pf,long_pnl,short_pnl
relaxed,0.75,368,-1345.9448125099761,0.8874242049194098,-0.2384448869663791,1.047644128696377,0.7427405169819216,270.30160259492834,-1616.2464151049046
relaxed,0.8,367,-1480.119884858078,0.8862417093205929,-0.26761657930212546,1.0402647654350645,0.7463302605498985,249.36855679113313,-1729.4884416492112
relaxed,0.85,366,-1505.4425982515233,0.8891984371194006,-0.285301218049569,1.0706860053389462,0.7270769464115728,453.13513436316583,-1958.5777326146892
relaxed,0.9,365,-1297.4672846182475,0.9080881388512517,-0.30761445750501626,1.1103300892181207,0.7311136416400794,726.8459027839574,-2024.313187402205
relaxed,0.95,365,-1230.9301245930517,0.9171726391078111,-0.2872448502833088,1.1306951517040056,0.7324946107269622,900.8084210126009,-2131.7385456056527
relaxed,1.0,365,-1856.717016034031,0.8777001002175372,-0.28466545510189567,1.0261725803039332,0.7405030810952891,190.83013587093183,-2047.547151904963
relaxed,1.05,364,-1532.2503378595718,0.9027589867206312,-0.2517218632316004,0.9994305611465167,0.8073795596837113,-4.456208261080976,-1527.7941295984908
relaxed,1.1,363,-1410.8064299859682,0.9137783623693654,-0.23381590289281906,0.9952848698854401,0.8322365136677973,-38.584153210658876,-1372.2222767753092
relaxed,1.15,363,-1237.701637686675,0.9271244548079268,-0.24942564263562206,1.0351198198691542,0.8216533067224602,294.706928257172,-1532.408565943847
relaxed,1.2,361,-843.0411513901128,0.9537098020604363,-0.22624972692517809,1.0727480781274605,0.8396254304352798,648.370055030794,-1491.4112064209066
relaxed,1.25,361,-1389.1645368314053,0.9273573836451023,-0.25558229358416706,1.0442576498932234,0.8154350921627707,413.9694731693175,-1803.1340100007228
relaxed,1.3,360,-1933.9184190493156,0.9016157113662735,-0.2954366695995382,0.9888044491564051,0.8162707826959851,-108.85834687075726,-1825.0600721785584
relaxed,1.35,360,-2142.3495190779813,0.8954238635039937,-0.3160378817640751,0.9564973540563418,0.8338550976905402,-447.3976740195864,-1694.9518450583948
relaxed,1.4,359,-1141.8018281246011,0.9454774551475337,-0.25055672859528066,0.9947757465503354,0.8950115416796529,-55.34294258906589,-1086.4588855355353
relaxed,1.45,358,-1041.5385197463625,0.95313496721365,-0.24168362971279445,1.0613201745805425,0.849844333449254,665.6255360868694,-1707.1640558332317
relaxed,1.5,358,-1676.2224209997714,0.9182871258301486,-0.28930122839870165,1.0269322987743388,0.8142868954310334,270.204691118385,-1946.4271121181564
relaxed,1.55,358,-2592.4184055045375,0.8760934769844313,-0.3280700008091685,0.986544207132516,0.7704038288546966,-137.66285237165695,-2454.755553132881
relaxed,1.6,357,-2920.088682528595,0.8583574846012942,-0.3617349050346601,0.897835603506935,0.8180498944857583,-1064.0540990649554,-1856.03458346364
relaxed,1.65,357,-2097.0893251859584,0.9051600954249351,-0.2922062041603074,0.9695146689992675,0.8413935874407406,-335.49710302182706,-1761.5922221641313
