candidate_id,rail,current_width,recent_width,lookback,trades,pnl,profit_factor,win_rate_pct,max_drawdown_pct,long_profit_factor,short_profit_factor,long_pnl,short_pnl,bad_context_stops,low_mfe_stops
phase2a_semantic_primary_215_w9_r8_lb10_sym_1hatr_sl2p15_tp2p15_fee04,2.15,9,8,10,362,3313.196715658281,1.092765530754777,56.353591160220994,-20.630546576211938,1.1526943733007413,1.0360936896124644,2650.6345072284053,662.5622084298755,158,68
phase2a_semantic_primary_215_w9_r8_lb20_sym_1hatr_sl2p15_tp2p15_fee04,2.15,9,8,20,362,3313.196715658281,1.092765530754777,56.353591160220994,-20.630546576211938,1.1526943733007413,1.0360936896124644,2650.6345072284053,662.5622084298755,158,68
phase2a_semantic_primary_215_w9_r8_lb35_sym_1hatr_sl2p15_tp2p15_fee04,2.15,9,8,35,362,3313.196715658281,1.092765530754777,56.353591160220994,-20.630546576211938,1.1526943733007413,1.0360936896124644,2650.6345072284053,662.5622084298755,158,68
phase2a_semantic_primary_215_w9_r10_lb10_sym_1hatr_sl2p15_tp2p15_fee04,2.15,9,10,10,350,3862.860732195996,1.116566452265786,56.285714285714285,-19.966320545930337,1.1304682119483187,1.1022967533076329,2190.007788795682,1672.8529434003144,153,65
phase2a_semantic_primary_215_w9_r10_lb20_sym_1hatr_sl2p15_tp2p15_fee04,2.15,9,10,20,352,3696.8316641262113,1.1080027807298314,56.25,-19.966320545930337,1.1456703919137199,1.0707648344762613,2478.7784230867906,1218.0532410394208,154,65
phase2a_semantic_primary_215_w9_r10_lb35_sym_1hatr_sl2p15_tp2p15_fee04,2.15,9,10,35,354,3526.880897479594,1.1035128572031552,56.21468926553672,-19.966320545930337,1.1350151147697294,1.072050447104096,2298.6558770927086,1228.2250203868855,155,66
phase2a_semantic_primary_215_w9_r12_lb10_sym_1hatr_sl2p15_tp2p15_fee04,2.15,9,12,10,285,2307.3690345378427,1.0894139139619372,56.14035087719298,-24.976249920147843,1.081624116724199,1.0995722307645617,1192.156802710005,1115.2122318278375,125,55
phase2a_semantic_primary_215_w9_r12_lb20_sym_1hatr_sl2p15_tp2p15_fee04,2.15,9,12,20,301,4427.246940746892,1.1496134180815387,56.47840531561462,-18.48343704208527,1.1071917872040866,1.2043679616201852,1787.2490641537795,2639.9978765931123,131,57
phase2a_semantic_primary_215_w9_r12_lb35_sym_1hatr_sl2p15_tp2p15_fee04,2.15,9,12,35,320,3768.5687699594614,1.1241807209673593,56.56250000000001,-18.48343704208527,1.1449561922541962,1.0999189540826118,2369.7891974586223,1398.779572500839,139,61
phase2a_semantic_primary_215_w9_r14_lb10_sym_1hatr_sl2p15_tp2p15_fee04,2.15,9,14,10,211,-309.18094346863336,0.9816994666458462,53.08056872037915,-23.395456908663792,1.0456840200312572,0.9000417080742754,432.7361478060933,-741.9170912747267,99,51
phase2a_semantic_primary_215_w9_r14_lb20_sym_1hatr_sl2p15_tp2p15_fee04,2.15,9,14,20,237,-346.0766565907535,0.9822371427944653,53.58649789029536,-23.439327930762587,1.0045848056938762,0.9499828130394184,52.76670141861173,-398.84335800936526,110,53
phase2a_semantic_primary_215_w9_r14_lb35_sym_1hatr_sl2p15_tp2p15_fee04,2.15,9,14,35,258,-82.55914824171265,0.9960242631242563,54.263565891472865,-22.52824316396148,1.0691297992945237,0.8932021442763775,839.0064526192108,-921.5656008609235,118,55
phase2a_semantic_primary_215_w11_r8_lb10_sym_1hatr_sl2p15_tp2p15_fee04,2.15,11,8,10,204,3567.6542934604167,1.1897076702501066,56.86274509803921,-20.926434911146462,1.1510864526731839,1.2337399914085685,1513.6780949467386,2053.9761985136784,88,48
phase2a_semantic_primary_215_w11_r8_lb20_sym_1hatr_sl2p15_tp2p15_fee04,2.15,11,8,20,204,3567.6542934604167,1.1897076702501066,56.86274509803921,-20.926434911146462,1.1510864526731839,1.2337399914085685,1513.6780949467386,2053.9761985136784,88,48
phase2a_semantic_primary_215_w11_r8_lb35_sym_1hatr_sl2p15_tp2p15_fee04,2.15,11,8,35,204,3567.6542934604167,1.1897076702501066,56.86274509803921,-20.926434911146462,1.1510864526731839,1.2337399914085685,1513.6780949467386,2053.9761985136784,88,48
phase2a_semantic_primary_215_w11_r10_lb10_sym_1hatr_sl2p15_tp2p15_fee04,2.15,11,10,10,204,3567.6542934604167,1.1897076702501066,56.86274509803921,-20.926434911146462,1.1510864526731839,1.2337399914085685,1513.6780949467386,2053.9761985136784,88,48
phase2a_semantic_primary_215_w11_r10_lb20_sym_1hatr_sl2p15_tp2p15_fee04,2.15,11,10,20,204,3567.6542934604167,1.1897076702501066,56.86274509803921,-20.926434911146462,1.1510864526731839,1.2337399914085685,1513.6780949467386,2053.9761985136784,88,48
phase2a_semantic_primary_215_w11_r10_lb35_sym_1hatr_sl2p15_tp2p15_fee04,2.15,11,10,35,204,3567.6542934604167,1.1897076702501066,56.86274509803921,-20.926434911146462,1.1510864526731839,1.2337399914085685,1513.6780949467386,2053.9761985136784,88,48
phase2a_semantic_primary_215_w11_r12_lb10_sym_1hatr_sl2p15_tp2p15_fee04,2.15,11,12,10,197,4088.0166949111863,1.2179238407692008,57.868020304568525,-20.34381371580478,1.2139675510904966,1.2222639283045622,2099.7414969540755,1988.2751979571105,83,45
phase2a_semantic_primary_215_w11_r12_lb20_sym_1hatr_sl2p15_tp2p15_fee04,2.15,11,12,20,200,3812.0303071275575,1.2024903895381285,57.49999999999999,-20.347332172614262,1.1835503683033415,1.2240272260752558,1838.5790631162497,1973.451244011308,85,46
phase2a_semantic_primary_215_w11_r12_lb35_sym_1hatr_sl2p15_tp2p15_fee04,2.15,11,12,35,203,3190.5307400602005,1.1700465015798922,56.65024630541872,-20.926434911146462,1.1531834415043696,1.1892378621842514,1529.86918962784,1660.6615504323606,88,48
phase2a_semantic_primary_215_w11_r14_lb10_sym_1hatr_sl2p15_tp2p15_fee04,2.15,11,14,10,168,1254.954268191191,1.0864402594562708,54.761904761904766,-21.16411671255688,1.1176470703912003,1.0494453544410667,926.4875125941254,328.46675559706557,76,45
phase2a_semantic_primary_215_w11_r14_lb20_sym_1hatr_sl2p15_tp2p15_fee04,2.15,11,14,20,176,2833.1637499601275,1.1756344734854585,56.81818181818182,-20.225822264167693,1.2321719375834306,1.1072853704871561,2049.6925877274252,783.4711622327021,76,44
phase2a_semantic_primary_215_w11_r14_lb35_sym_1hatr_sl2p15_tp2p15_fee04,2.15,11,14,35,184,2832.2599346417032,1.172176940184937,56.52173913043478,-20.809306472462186,1.242165833444376,1.0861054354823405,2197.0385548696954,635.2213797720082,80,46
phase2a_semantic_upper_235_w9_r8_lb10_sym_1hatr_sl2p35_tp2p35_fee04,2.35,9,8,10,360,3462.523198316544,1.0869065047474422,55.833333333333336,-22.22069893775549,1.1130750867969468,1.0613955548013216,2223.9007256382415,1238.6224726783025,159,64
phase2a_semantic_upper_235_w9_r8_lb20_sym_1hatr_sl2p35_tp2p35_fee04,2.35,9,8,20,360,3462.523198316544,1.0869065047474422,55.833333333333336,-22.22069893775549,1.1130750867969468,1.0613955548013216,2223.9007256382415,1238.6224726783025,159,64
phase2a_semantic_upper_235_w9_r8_lb35_sym_1hatr_sl2p35_tp2p35_fee04,2.35,9,8,35,360,3462.523198316544,1.0869065047474422,55.833333333333336,-22.22069893775549,1.1130750867969468,1.0613955548013216,2223.9007256382415,1238.6224726783025,159,64
