rail,w,trades,pnl,pf,dd,long_pf,short_pf,long_pnl,short_pnl
2.45,8,411,2953.8341730305815,1.0627504829401213,-0.3836998520400343,1.1880660287967344,0.9488252100450987,4215.64653221593,-1261.812359185349
2.45,9,350,4945.58891384468,1.1232517719645756,-0.22576012783153232,1.1613152033306726,1.085922364610046,3204.949136728234,1740.6397771164463
2.45,10,281,4973.338594470071,1.1676908792801135,-0.24245988577197997,1.029930886746235,1.3460879501897314,500.8907365172105,4472.447857952861
2.45,11,203,3787.3408094067404,1.1747740088445884,-0.2583494815114825,1.1756972106289194,1.1737628029798517,1990.2791125489543,1797.0616968577858
2.45,14,80,1619.8311494729614,1.2265725758213333,-0.1374966310087381,0.9694998885386091,1.594590218009886,-128.37772909600466,1748.208878568966
2.45,16,49,2820.0721762699905,1.7429142926790122,-0.09109621381165645,1.4544507145280448,2.028184790239712,857.7377327958019,1962.3344434741887
2.5,8,407,2104.6272010029297,1.0458449724227297,-0.4187285228170622,1.1662040482194782,0.9359589619546337,3641.4730193937817,-1536.8458183908522
2.5,9,347,4744.509903335235,1.1189058788733406,-0.24340511202984783,1.1371557231214018,1.1007380836518068,2730.187024940422,2014.3228783948136
2.5,10,278,4965.524688250257,1.1671807481973278,-0.22321974113263487,1.007914654190973,1.3792002996720694,134.23895964855717,4831.285728601701
2.5,11,201,3869.2552139039503,1.1776491373222029,-0.21996812788019593,1.146001586628886,1.2136802059796634,1692.9631367761824,2176.292077127768
2.5,14,80,1925.3463037285235,1.2652547177336968,-0.12080947347832693,0.9713723328097968,1.7042797287364642,-124.47205410229364,2049.818357830817
2.5,16,49,3177.730414210261,1.8405805168895524,-0.12080947347831683,1.454485426955452,2.253298819332514,887.6997230362903,2290.030691173971
