candidate_id,setup_label,rail,current_width,recent_width,width_lookback,recent_is_non_redundant,trades,pnl,profit_factor,win_rate_pct,max_drawdown_pct,long_profit_factor,short_profit_factor,pf_symmetry_gap,long_pnl,short_pnl,fees_paid,stop_loss_after_bad_context,high_mfe_high_capture_count,high_mfe_low_capture_count,stability_score
phase2b_corrected_semantic_primary_215_w11_r12_lb10_sym_1hatr_sl2p15_tp2p15_fee04,2.15 w11/r12/lb10,2.15,11,12,10,True,197,4088.0166949111863,1.2179238407692008,57.868020304568525,-20.34381371580478,1.2139675510904966,1.2222639283045622,0.00829637721406562,2099.7414969540755,1988.2751979571105,1908.6627918662386,83,45,5,95.65795171676663
phase2b_corrected_semantic_upper_235_w11_r12_lb20_sym_1hatr_sl2p35_tp2p35_fee04,2.35 w11/r12/lb20,2.35,11,12,20,True,199,4008.6450152880157,1.1902674487678315,56.78391959798995,-24.95330092406639,1.1909685907471361,1.1894861133367918,0.0014824774103443517,2120.5302961055927,1888.114719182423,1933.461853356476,86,54,5,87.40336771508505
phase2b_corrected_semantic_primary_215_w11_r12_lb20_sym_1hatr_sl2p15_tp2p15_fee04,2.15 w11/r12/lb20,2.15,11,12,20,True,200,3812.0303071275575,1.2024903895381285,57.49999999999999,-20.347332172614262,1.1835503683033415,1.2240272260752558,0.04047685777191434,1838.5790631162497,1973.451244011308,1912.1041216119995,85,45,5,85.3852779492268
phase2b_corrected_semantic_upper_235_w11_r12_lb10_sym_1hatr_sl2p35_tp2p35_fee04,2.35 w11/r12/lb10,2.35,11,12,10,True,196,4311.636866549699,1.205158874575288,57.14285714285714,-23.614836144166773,1.2219948615521226,1.1870815660742675,0.034913295477855044,2415.670614804114,1895.9662517455854,1931.4533976304829,84,54,5,83.89592988948036
phase2b_corrected_semantic_upper_235_w11_r12_lb35_sym_1hatr_sl2p35_tp2p35_fee04,2.35 w11/r12/lb35,2.35,11,12,35,True,202,3510.9644232527185,1.1674329668816792,56.43564356435643,-25.02150440364821,1.1625720555479606,1.1728965552863793,0.010324499738418647,1804.0156877099387,1706.94873554278,1908.3420980930227,88,54,5,81.4565044523398
phase2b_corrected_semantic_primary_215_w11_r12_lb35_sym_1hatr_sl2p15_tp2p15_fee04,2.15 w11/r12/lb35,2.15,11,12,35,True,203,3190.5307400602005,1.1700465015798922,56.65024630541872,-20.926434911146462,1.1531834415043696,1.1892378621842514,0.03605442067988185,1529.86918962784,1660.6615504323606,1879.1709713159332,88,45,5,77.91035768574753
phase2b_corrected_semantic_primary_215_w11_r13_lb20_sym_1hatr_sl2p15_tp2p15_fee04,2.15 w11/r13/lb20,2.15,11,13,20,True,193,3191.672720521045,1.1791233357604674,56.994818652849744,-20.347315299666924,1.204109788179152,1.1519766566354166,0.052133131543735445,1893.7947657937862,1297.8779547272586,1784.7490554071535,83,43,5,76.59732036475118
phase2b_corrected_transition_245_w11_r12_lb20_sym_1hatr_sl2p45_tp2p45_fee04,2.45 w11/r12/lb20,2.45,11,12,20,True,199,3862.498045430622,1.1776587626783621,56.78391959798995,-25.76748461297904,1.2064482137559542,1.146450216373657,0.059997997382297275,2334.6917793978805,1527.8062660327419,1902.5430256656407,86,55,6,74.06944106739772
phase2b_corrected_transition_245_w11_r12_lb35_sym_1hatr_sl2p45_tp2p45_fee04,2.45 w11/r12/lb35,2.45,11,12,35,True,202,3350.7006728956303,1.15503371971565,56.43564356435643,-25.83494815114825,1.1782159809875297,1.1296962848373757,0.048519696150153946,2011.4103671946662,1339.2903057009644,1875.6120983788835,88,55,6,72.3749677714564
phase2b_corrected_transition_245_w11_r12_lb10_sym_1hatr_sl2p45_tp2p45_fee04,2.45 w11/r12/lb10,2.45,11,12,10,True,196,4173.782778360487,1.192326790084704,57.14285714285714,-24.384791708223585,1.2378133220516943,1.1448079288818493,0.09300539316984491,2636.84213764121,1536.9406407192769,1901.7479903477263,84,55,6,70.62996132598352
phase2b_corrected_semantic_primary_215_w11_r13_lb35_sym_1hatr_sl2p15_tp2p15_fee04,2.15 w11/r13/lb35,2.15,11,13,35,True,198,3104.4843580291504,1.1713139914575257,56.56565656565656,-20.926434911145908,1.2210432728154867,1.1182315697485832,0.10281170306690357,2068.1504030679635,1036.3339549611871,1824.648246521833,86,43,5,62.97240084140191
