rail,current_width,recent_width,width_lookback,candidates,mean_pf,median_pf,mean_pnl,median_pnl,mean_wr_pct,median_wr_pct,mean_trades,pf_ge_1_15,both_sides_pf_gt_1,mean_pf_symmetry_gap
2.15,10,11,10,1,1.1368198752266965,1.1368198752266965,3309.377723229172,3309.377723229172,55.925925925925924,55.925925925925924,270.0,0,0,0.33704545435914757
2.15,10,11,20,1,1.1444885235691418,1.1444885235691418,3674.2455777385057,3674.2455777385057,56.043956043956044,56.043956043956044,273.0,0,1,0.30903354557983165
2.15,10,11,35,1,1.1387704940851617,1.1387704940851617,3556.936380772209,3556.936380772209,56.272401433691755,56.272401433691755,279.0,0,1,0.2517607289185697
2.15,10,12,10,1,1.1047723955715951,1.1047723955715951,2304.8454666554157,2304.8454666554157,55.91836734693878,55.91836734693878,245.0,0,1,0.24607662301762634
2.15,10,12,20,1,1.1229252132329266,1.1229252132329266,2903.78897859958,2903.78897859958,56.07843137254902,56.07843137254902,255.0,0,1,0.22197307697738022
2.15,10,12,35,1,1.101380613095886,1.101380613095886,2410.03739129445,2410.03739129445,55.762081784386616,55.762081784386616,269.0,0,1,0.1664281087847519
2.15,10,13,10,1,1.0416223595442313,1.0416223595442313,740.8872288613828,740.8872288613828,55.092592592592595,55.092592592592595,216.0,0,0,0.08965709420301382
2.15,10,13,20,1,1.0483499561273772,1.0483499561273772,978.629659134855,978.629659134855,55.12820512820513,55.12820512820513,234.0,0,1,0.09184130788337996
2.15,10,13,35,1,1.0213239631084312,1.0213239631084312,440.553827151572,440.553827151572,54.655870445344135,54.655870445344135,247.0,0,1,0.0013181974685692044
2.15,11,11,10,1,1.1897076702501066,1.1897076702501066,3567.6542934604167,3567.6542934604167,56.86274509803921,56.86274509803921,204.0,1,1,0.08265353873538461
2.15,11,11,20,1,1.1897076702501066,1.1897076702501066,3567.6542934604167,3567.6542934604167,56.86274509803921,56.86274509803921,204.0,1,1,0.08265353873538461
2.15,11,11,35,1,1.1897076702501066,1.1897076702501066,3567.6542934604167,3567.6542934604167,56.86274509803921,56.86274509803921,204.0,1,1,0.08265353873538461
2.15,11,12,10,1,1.2179238407692008,1.2179238407692008,4088.0166949111863,4088.0166949111863,57.868020304568525,57.868020304568525,197.0,1,1,0.00829637721406562
2.15,11,12,20,1,1.2024903895381285,1.2024903895381285,3812.0303071275575,3812.0303071275575,57.49999999999999,57.49999999999999,200.0,1,1,0.04047685777191434
2.15,11,12,35,1,1.1700465015798922,1.1700465015798922,3190.5307400602005,3190.5307400602005,56.65024630541872,56.65024630541872,203.0,1,1,0.03605442067988185
2.15,11,13,10,1,1.1054707990595336,1.1054707990595336,1692.0646037927518,1692.0646037927518,55.91397849462365,55.91397849462365,186.0,0,1,0.14577390065432239
2.15,11,13,20,1,1.1791233357604674,1.1791233357604674,3191.672720521045,3191.672720521045,56.994818652849744,56.994818652849744,193.0,1,1,0.052133131543735445
2.15,11,13,35,1,1.1713139914575257,1.1713139914575257,3104.4843580291504,3104.4843580291504,56.56565656565656,56.56565656565656,198.0,1,1,0.10281170306690357
2.15,12,11,10,1,1.0675575352048956,1.0675575352048956,796.0621589124296,796.0621589124296,54.48275862068965,54.48275862068965,145.0,0,0,0.3691679056690369
2.15,12,11,20,1,1.0675575352048956,1.0675575352048956,796.0621589124296,796.0621589124296,54.48275862068965,54.48275862068965,145.0,0,0,0.3691679056690369
2.15,12,11,35,1,1.0675575352048956,1.0675575352048956,796.0621589124296,796.0621589124296,54.48275862068965,54.48275862068965,145.0,0,0,0.3691679056690369
2.15,12,12,10,1,1.0675575352048956,1.0675575352048956,796.0621589124296,796.0621589124296,54.48275862068965,54.48275862068965,145.0,0,0,0.3691679056690369
2.15,12,12,20,1,1.0675575352048956,1.0675575352048956,796.0621589124296,796.0621589124296,54.48275862068965,54.48275862068965,145.0,0,0,0.3691679056690369
2.15,12,12,35,1,1.0675575352048956,1.0675575352048956,796.0621589124296,796.0621589124296,54.48275862068965,54.48275862068965,145.0,0,0,0.3691679056690369
2.15,12,13,10,1,1.0930632629785892,1.0930632629785892,1042.5915053613119,1042.5915053613119,54.929577464788736,54.929577464788736,142.0,0,0,0.22972120201588153
2.15,12,13,20,1,1.0680398325730975,1.0680398325730975,780.1120583958416,780.1120583958416,54.54545454545454,54.54545454545454,143.0,0,0,0.27017633345963277
