recent_width,candidates,mean_pf,median_pf,mean_pnl,median_pnl,mean_wr_pct,median_wr_pct,mean_trades,pf_ge_1_15,both_sides_pf_gt_1,mean_pf_symmetry_gap
11,27,1.1247387399407052,1.1400554737526365,2739.2013528501207,3567.6542934604167,55.47930498356623,55.95667870036101,206.77777777777777,10,13,0.2259358962667288
12,27,1.1122501583702944,1.101380613095886,2317.504792363204,2410.03739129445,55.386063383600465,55.33596837944664,199.55555555555554,9,15,0.18432416505707797
13,27,1.0743015692927291,1.0544244595419665,1287.4638868883633,780.1097748285857,54.84248331479389,54.54545454545454,188.22222222222223,6,13,0.1356987719347014
