rail,candidates,mean_pf,median_pf,mean_pnl,median_pnl,mean_wr_pct,median_wr_pct,mean_trades,pf_ge_1_15,both_sides_pf_gt_1,mean_pf_symmetry_gap
2.15,27,1.1152012299320728,1.1047723955715951,2128.898178900763,2304.8454666554157,55.69910466558002,55.91397849462365,199.07407407407408,8,16,0.19754526347067025
2.35,27,1.1020978977017348,1.0912504153417653,2126.948101307245,1957.6523365311705,54.94652798999155,54.9407114624506,197.74074074074073,8,10,0.19383623099056357
2.45,27,1.0939913399699213,1.090551226224339,2088.3237518936808,2276.505415469664,55.06221902638902,55.33596837944664,197.74074074074073,9,15,0.15457733879727428
