candidate_id,setup_label,rail,current_width,recent_width,width_lookback,recent_is_non_redundant,trades,pnl,profit_factor,win_rate_pct,max_drawdown_pct,long_profit_factor,short_profit_factor,pf_symmetry_gap,long_pnl,short_pnl,fees_paid,stop_loss_after_bad_context,high_mfe_high_capture_count,high_mfe_low_capture_count,stability_score
phase2b_corrected_transition_245_w10_r11_lb20_sym_1hatr_sl2p45_tp2p45_fee04,2.45 w10/r11/lb20,2.45,10,11,20,True,271,4474.087868311397,1.1530448883652926,56.08856088560885,-22.550030831178912,1.0122677835183174,1.3434966509847603,0.331228867466443,206.20946741379936,4267.878400897598,2461.6222328284393,119,78,12,56.981162226490255
phase2b_corrected_semantic_upper_235_w11_r12_lb10_sym_1hatr_sl2p35_tp2p35_fee04,2.35 w11/r12/lb10,2.35,11,12,10,True,196,4311.636866549699,1.205158874575288,57.14285714285714,-23.614836144166773,1.2219948615521226,1.1870815660742675,0.034913295477855044,2415.670614804114,1895.9662517455854,1931.4533976304829,84,54,5,83.89592988948036
phase2b_corrected_transition_245_w11_r12_lb10_sym_1hatr_sl2p45_tp2p45_fee04,2.45 w11/r12/lb10,2.45,11,12,10,True,196,4173.782778360487,1.192326790084704,57.14285714285714,-24.384791708223585,1.2378133220516943,1.1448079288818493,0.09300539316984491,2636.84213764121,1536.9406407192769,1901.7479903477263,84,55,6,70.62996132598352
phase2b_corrected_transition_245_w10_r11_lb35_sym_1hatr_sl2p45_tp2p45_fee04,2.45 w10/r11/lb35,2.45,10,11,35,True,277,4134.735228324894,1.1410173449047465,55.95667870036101,-23.40051569226049,1.0271223691278693,1.286599765481145,0.2594773963532757,446.18215601390335,3688.5530723109905,2464.9539303782194,122,79,12,54.99118317716497
phase2b_corrected_semantic_primary_215_w11_r12_lb10_sym_1hatr_sl2p15_tp2p15_fee04,2.15 w11/r12/lb10,2.15,11,12,10,True,197,4088.0166949111863,1.2179238407692008,57.868020304568525,-20.34381371580478,1.2139675510904966,1.2222639283045622,0.00829637721406562,2099.7414969540755,1988.2751979571105,1908.6627918662386,83,45,5,95.65795171676663
phase2b_corrected_transition_245_w10_r11_lb10_sym_1hatr_sl2p45_tp2p45_fee04,2.45 w10/r11/lb10,2.45,10,11,10,True,268,4031.3664207285547,1.1458366132127162,55.970149253731336,-22.550030831178127,0.9950586332056155,1.3563725744174069,0.3613139412117914,-79.59290662402753,4110.9593273525825,2327.6977502733275,118,76,12,0.0
phase2b_corrected_semantic_upper_235_w11_r12_lb20_sym_1hatr_sl2p35_tp2p35_fee04,2.35 w11/r12/lb20,2.35,11,12,20,True,199,4008.6450152880157,1.1902674487678315,56.78391959798995,-24.95330092406639,1.1909685907471361,1.1894861133367918,0.0014824774103443517,2120.5302961055927,1888.114719182423,1933.461853356476,86,54,5,87.40336771508505
phase2b_corrected_semantic_upper_235_w10_r11_lb20_sym_1hatr_sl2p35_tp2p35_fee04,2.35 w10/r11/lb20,2.35,10,11,20,True,271,3993.18801335664,1.1400554737526365,55.71955719557196,-21.63983646284825,0.9711202504355393,1.3773103143169256,0.40619006388138634,-480.9488393047176,4474.136852661358,2481.7739776924163,120,75,11,0.0
phase2b_corrected_semantic_upper_235_w11_r11_lb10_sym_1hatr_sl2p35_tp2p35_fee04,2.35 w11/r11/lb10,2.35,11,11,10,False,203,3934.3138007704406,1.1871471309203296,56.65024630541872,-25.02150440364821,1.160238276367567,1.217452691256743,0.057214414889176,1784.30439381677,2150.009406953671,1924.2298602443382,88,55,5,75.05249046010518
phase2b_corrected_semantic_upper_235_w11_r11_lb20_sym_1hatr_sl2p35_tp2p35_fee04,2.35 w11/r11/lb20,2.35,11,11,20,False,203,3934.3138007704406,1.1871471309203296,56.65024630541872,-25.02150440364821,1.160238276367567,1.217452691256743,0.057214414889176,1784.30439381677,2150.009406953671,1924.2298602443382,88,55,5,75.05249046010518
