current_width,recent_width,width_lookback,candidates,mean_pf,median_pf,mean_pnl,median_pnl,mean_wr_pct,median_wr_pct,mean_trades,pf_ge_1_15,both_sides_pf_gt_1,mean_pf_symmetry_gap
10,11,10,3,1.1384309174128424,1.1368198752266965,3641.353004042738,3583.314868170488,55.83103003501012,55.925925925925924,268.6666666666667,0,0,0.3782682767009602
10,11,20,3,1.1458629618956904,1.1444885235691418,4047.1738198021812,3993.18801335664,55.950691375045615,56.043956043956044,271.6666666666667,1,2,0.34881749230922027
10,11,35,3,1.1360971612613915,1.1387704940851617,3789.1884653775082,3675.8937870354216,55.94158266802962,55.95667870036101,277.6666666666667,0,2,0.28144552626296804
10,12,10,3,1.0916282732908495,1.090551226224339,2179.6677395520833,2276.505415469664,55.26497018560511,55.144032921810705,243.66666666666666,0,2,0.2470920207457563
10,12,20,3,1.1101308429602543,1.1093795219960336,2826.336620380121,2903.78897859958,55.45170373814875,55.33596837944664,253.66666666666666,0,2,0.22516154811991584
10,12,35,3,1.0984170686699037,1.101380613095886,2529.4822739201986,2410.03739129445,55.41632439005147,55.430711610486895,267.6666666666667,0,2,0.1925508351293221
10,13,10,3,1.0221070649788502,1.018414536161126,408.39324717024573,358.97463892707344,54.501269181954534,54.20560747663551,214.66666666666666,0,0,0.12386148678805235
10,13,20,3,1.0339909577509587,1.0314454806511089,726.4601833995929,709.3493219273224,54.439286766872975,54.310344827586206,232.66666666666666,0,2,0.06114932825039928
10,13,35,3,1.0080738594434775,1.0055608941762633,169.33920537027373,127.4621182330367,54.000936406951446,53.87755102040816,245.66666666666666,0,1,0.04324004923264135
11,11,10,3,1.1838762700050083,1.1871471309203296,3763.102967879199,3787.3408094067404,56.72107923629221,56.65024630541872,203.33333333333334,3,3,0.04726745375787611
11,11,20,3,1.1838762700050083,1.1871471309203296,3763.102967879199,3787.3408094067404,56.72107923629221,56.65024630541872,203.33333333333334,3,3,0.04726745375787611
11,11,35,3,1.1838762700050083,1.1871471309203296,3763.102967879199,3787.3408094067404,56.72107923629221,56.65024630541872,203.33333333333334,3,3,0.04726745375787611
11,12,10,3,1.2051365018097309,1.205158874575288,4191.145446607124,4173.782778360487,57.384578196760934,57.14285714285714,196.33333333333334,3,3,0.045405021953921855
11,12,20,3,1.1901388669947741,1.1902674487678315,3894.391122615398,3862.498045430622,57.02261306532663,56.78391959798995,199.33333333333334,3,3,0.033985777521518656
11,12,35,3,1.1641710627257404,1.1674329668816792,3350.7319454028498,3350.7006728956303,56.5071778113772,56.43564356435643,202.33333333333334,3,3,0.031632872189484816
11,13,10,3,1.0983225275058381,1.1019155638910285,1700.6354232075037,1692.0646037927518,55.75510994865832,55.67567567567567,185.33333333333334,0,2,0.20328294721979986
11,13,20,3,1.1664836332287154,1.1667994467875111,3218.040128139397,3191.672720521045,56.498272884283246,56.25,192.33333333333334,3,3,0.0995873912874546
11,13,35,3,1.1650773014847216,1.1684218969442126,3253.7481874417317,3245.935115659286,56.4186706318686,56.34517766497462,197.33333333333334,3,3,0.13976276916038088
12,11,10,3,1.050209602960466,1.05146476827649,628.5959942636874,668.2989889132914,53.809067688378036,53.47222222222222,144.33333333333334,0,0,0.2943631366179274
12,11,20,3,1.050209602960466,1.05146476827649,628.5959942636874,668.2989889132914,53.809067688378036,53.47222222222222,144.33333333333334,0,0,0.2943631366179274
12,11,35,3,1.050209602960466,1.05146476827649,628.5959942636874,668.2989889132914,53.809067688378036,53.47222222222222,144.33333333333334,0,0,0.2943631366179274
12,12,10,3,1.050209602960466,1.05146476827649,628.5959942636874,668.2989889132914,53.809067688378036,53.47222222222222,144.33333333333334,0,0,0.2943631366179274
12,12,20,3,1.050209602960466,1.05146476827649,628.5959942636874,668.2989889132914,53.809067688378036,53.47222222222222,144.33333333333334,0,0,0.2943631366179274
12,12,35,3,1.050209602960466,1.05146476827649,628.5959942636874,668.2989889132914,53.809067688378036,53.47222222222222,144.33333333333334,0,0,0.2943631366179274
12,13,10,3,1.074338377533236,1.075527410079152,888.8200746087987,933.1956590432934,54.243665301501686,53.90070921985816,141.33333333333334,0,2,0.15622865765795727
12,13,20,3,1.05016029659299,1.0514331674328694,610.8704756160156,650.056639147308,53.86256935552709,53.52112676056338,142.33333333333334,0,0,0.19708831575377758
12,13,35,3,1.0501601051157754,1.0514329770698851,610.8680570417122,650.0541751527347,53.86256935552709,53.52112676056338,142.33333333333334,0,0,0.19708800206184937
